ori_text,paragraphIndex,coref_text
"Charlotte Helen Sainton-Dolby (17 May 1821 – 18 February 1885), was an English contralto, singing teacher and composer.
",0,"Charlotte Helen Sainton-Dolby (17 May 1821 – 18 February 1885), was an English contralto, singing teacher and composer.
"
"== Life ==
",1,"== Life ==
"
"Charlotte Helen Dolby was born in London to Samuel Dolby and Charlotte Niven. Her father died when she was 10 years old. She studied at the Royal Academy of Music from 1832 to 1837, Domenico Crivelli being her principal singing-master. In 1837 she was elected to a King's scholarship, and first appeared at a Royal Philharmonic Society concert in 1841. In October 1845 she sang at the Gewandhaus, Leipzig, through the influence of Mendelssohn, who had been delighted by her singing in his oratorio St. Paul. The contralto music in his Elijah was written for her voice, but she did not appear in that work until the performance at Exeter Hall on 16 April 1847. She was a principal soloist in the first English performance of Bach's St Matthew Passion, directed by William Sterndale Bennett at the Hanover Square Rooms London on 6 April 1854 and again for the premiere of his Sacred Cantata The Woman of Samaria at the Birmingham Musical Festival in 1867.
",2,"Charlotte Helen Dolby was born in London to Samuel Dolby and Charlotte Niven. Charlotte Helen Dolby's father died when Charlotte Helen Dolby was 10 years old. Charlotte Helen Dolby studied at the Royal Academy of Music from 1832 to 1837, Domenico Crivelli being Charlotte Helen Dolby's principal singing-master. In 1837 Charlotte Helen Dolby was elected to a King's scholarship, and first appeared at a Royal Philharmonic Society concert in 1841. In October 1845 Charlotte Helen Dolby sang at the Gewandhaus, Leipzig, through the influence of Mendelssohn, who had been delighted by Charlotte Helen Dolby's singing in Mendelssohn, who had been delighted by her singing in his oratorio St. Paul's oratorio St. Paul. The contralto music in Mendelssohn, who had been delighted by her singing in his oratorio St. Paul's Elijah was written for Charlotte Helen Dolby's voice, but Charlotte Helen Dolby did not appear in The contralto music in his Elijah until the performance at Exeter Hall on 16 April 1847. Charlotte Helen Dolby was a principal soloist in the first English performance of Bach's's St Matthew Passion, directed by William Sterndale Bennett at the Hanover Square Rooms London on 6 April 1854 and again for the premiere of Bach's's Sacred Cantata The Woman of Samaria at the Birmingham Musical Festival in 1867.
"
"She married the violinist Prosper Sainton in 1860, and in 1870 she retired from the career of a public singer, but two years afterwards started a vocal academy in London. She made various successful attempts as a composer, and the cantatas The Legend of St Dorothea (1876), The Story of the Faithful Soul (1879), and Florimel (1885), enjoyed considerable success. Her last public appearance was at her husband's farewell concert in June 1883. She died on the 18th February 1885 and was buried on the western side of Highgate Cemetery, near the Terrace Catacombs.
",3,"She married the violinist Prosper Sainton in 1860, and in 1870 she retired from the career of a public singer, but two years afterwards started a vocal academy in London. She made various successful attempts as a composer, and the cantatas The Legend of St Dorothea (1876), The Story of the Faithful Soul (1879), and Florimel (1885), enjoyed considerable success. Her last public appearance was at her husband's farewell concert in June 1883. She died on the 18th February 1885 and was buried on the western side of Highgate Cemetery, near the Terrace Catacombs.
"
"A scholarship in her memory was founded at the Royal Academy of Music. Her voice was of moderate power and of fine quality, but it was her dignified and artistic style that gave her the high place she held for so many years both in oratorio and ballads.
",4,"A scholarship in her memory was founded at the Royal Academy of Music. Her voice was of moderate power and of fine quality, but it was her dignified and artistic style that gave her the high place she held for so many years both in oratorio and ballads.
"
"== Notes ==
",5,"== Notes ==
"
"== References ==
",6,"== References ==
"
"This article incorporates text from a publication now in the public domain: Chisholm, Hugh, ed. (1911). ""Sainton-Dolby, Charlotte Helen"". Encyclopædia Britannica. Vol. 24 (11th ed.). Cambridge University Press. p. 34.
",7,"This article incorporates text from a publication now in the public domain: Chisholm, Hugh, ed. (1911). ""Sainton-Dolby, Charlotte Helen"". Encyclopædia Britannica. Vol. 24 (11th ed.). Cambridge University Press. p. 34.
"
"Legge, Robin Humphrey (1897). ""Sainton, Prosper Philippe Catherine"" .  In Lee, Sidney (ed.). Dictionary of National Biography. Vol. 50. London: Smith, Elder & Co.
",8,"Legge, Robin Humphrey (1897). ""Sainton, Prosper Philippe Catherine"" .  In Lee, Sidney (ed.). Dictionary of National Biography. Vol. 50. London: Smith, Elder & Co.
"
"Warrack, John. ""Dolby, Charlotte Helen Sainton- (1821–1885)"". Oxford Dictionary of National Biography (online ed.). Oxford University Press. doi:10.1093/ref:odnb/24521. (Subscription or UK public library membership required.)",9,"Warrack, John. ""Dolby, Charlotte Helen Sainton- (1821–1885)"". Oxford Dictionary of National Biography (online ed.). Oxford University Press. doi:10.1093/ref:odnb/24521. (Subscription or UK public library membership required.)"
