ori_text,paragraphIndex,coref_text
"Étienne Nicolas Méhul (French: [meyl]; 22 June 1763 – 18 October 1817) was a French composer, ""the most important opera composer in France during the Revolution"". He was also the first composer to be called a ""Romantic"". He is known particularly for his operas, written in keeping with the reforms introduced by Christoph Willibald Gluck.
",0,"Étienne Nicolas Méhul (French: [meyl]; 22 June 1763 – 18 October 1817) was a French composer, ""the most important opera composer in France during the Revolution"". Étienne Nicolas Méhul was also the first composer to be called a ""Romantic"". Étienne Nicolas Méhul is known particularly for Étienne Nicolas Méhul's operas, written in keeping with the reforms introduced by Christoph Willibald Gluck. "
"Méhul was born at Givet in Ardennes to Jean-François Méhul, a wine merchant, and his wife Marie-Cécile (née Keuly).  His first music lessons came from a blind local organist. When he showed promise, he was sent to study with a German musician and organist, Wilhelm Hanser, at the monastery of Lavaldieu, a few miles from Givet. Here Méhul developed his lifelong love of flowers. In 1778 or 1779 he went to Paris and began to study with Jean-Frédéric Edelmann, a harpsichord player and friend of Méhul's idol Christoph Willibald Gluck. Méhul's first published composition was a book of piano pieces in 1783. He also arranged airs' from popular operas and by the late 1780s he had begun to think about an operatic career for himself.
",2,"Méhul was born at Givet in Ardennes to Jean-François Méhul, a wine merchant, and Jean-François Méhul, a wine merchant's wife Marie-Cécile (née Keuly). Méhul's first music lessons came from a blind local organist. When Méhul showed promise, Méhul was sent to study with a German musician and organist, Wilhelm Hanser, at the monastery of Lavaldieu, a few miles from Givet in Ardennes. Here Méhul developed Méhul's lifelong love of flowers. In 1778 or 1779 Méhul went to Paris and began to study with Jean-Frédéric Edelmann, a harpsichord player and friend of Méhul's idol Christoph Willibald Gluck. Méhul's first published composition was a book of piano pieces in 1783. Méhul also arranged airs' from popular operas and by the late 1780s Méhul had begun to think about an operatic career for Méhul. "
"In 1787, the writer Valadier offered Méhul one of his libretti, Cora, which had been rejected by Gluck in 1785. The Académie royale de musique (the Paris Opéra) put Méhul's work, under the title Alonzo et Cora, into rehearsal in June 1789. However, the rehearsals were abandoned on 8 August, probably because the Opéra had been suffering severe financial difficulties throughout the 1780s, and the opera was not premiered until 1791. In the meantime, Méhul found an ideal collaborator in the librettist François-Benoît Hoffman, who provided the words to the first of Méhul's operas to be performed, Euphrosine. Its premiere in 1790 was an immense success and marked the composer out as a new talent. It was also the start of his long relationship with the Comédie Italienne theatre (soon to be renamed the Opéra-Comique).
",3,"In 1787, the writer Valadier offered Méhul one of Méhul's libretti, Cora, which had been rejected by Gluck in 1785. The Académie royale de musique (the Paris Opéra) put Méhul's work, under the title Alonzo et Cora, into rehearsal in June 1789. However, rehearsal were abandoned on 8 August, probably because The Académie royale de musique (the Paris Opéra) had been suffering severe financial difficulties throughout the 1780s, and one of his libretti, Cora, which had been rejected by Gluck in 1785 was not premiered until 1791. In the meantime, Méhul found an ideal collaborator in the librettist François-Benoît Hoffman, who provided the words to the first of Méhul's operas to be performed, Euphrosine. the first of Méhul's operas to be performed, Euphrosine's premiere in 1790 was an immense success and marked Méhul out as a new talent. Its premiere in 1790 was also the start of Méhul's long relationship with the Comédie Italienne theatre (soon to be renamed the Opéra-Comique). "
"In spite of the failure of Cora in 1791 and the banning of Adrien for political reasons the year after that, Méhul consolidated his reputation with works such as Stratonice and Mélidore et Phrosine. During the French Revolution, Méhul composed many patriotic songs and propaganda pieces, the most famous of which is the Chant du départ. Méhul was rewarded by becoming the first composer named to the newly founded Institut de France in 1795. He also held a post as one of the five inspectors of the Conservatoire de Paris. Méhul was on friendly terms with Napoleon and became one of the first Frenchmen to receive the Légion d'honneur.
",4,"In spite of the failure of Cora in 1791 and the banning of Adrien for political reasons the year after that, Méhul consolidated Méhul's reputation with works such as Stratonice and Mélidore et Phrosine. During the French Revolution, Méhul composed many patriotic songs and propaganda pieces, the most famous of which is the Chant du départ. Méhul was rewarded by becoming the first composer named to the newly founded Institut de France in 1795. Méhul also held a post as one of the five inspectors of the Conservatoire de Paris. Méhul was on friendly terms with Napoleon and became one of the first Frenchmen to receive the Légion d'honneur. "
"Méhul's operatic success was not as great in the first decade of the nineteenth century as it had been in the 1790s, although works such as Joseph (1807) became famous abroad, particularly in Germany. The failure of his opera Les amazones in 1811 was a severe blow and virtually ended his career as a composer for the theatre. Despite his friendship with Napoleon, Méhul's public standing survived the transition to the Bourbon Restoration intact. However, the composer was now seriously ill with tuberculosis and he died on 18 October 1817. His grave is at Père Lachaise Cemetery, near the grave of the composer François Joseph Gossec.
",5,"Méhul's's operatic success was not as great in the first decade of the nineteenth century as Méhul's operatic success had been in the 1790s, although works such as Joseph (1807) became famous abroad, particularly in Germany. The failure of Méhul's's opera Les amazones in 1811 was a severe blow and virtually ended Méhul's's career as a composer for the theatre. Despite Méhul's's friendship with Napoleon, Méhul's's public standing survived the transition to the Bourbon Restoration intact. However, Méhul's was now seriously ill with tuberculosis and Méhul's died on 18 October 1817. Méhul's's grave is at Père Lachaise Cemetery, near the grave of the composer François Joseph Gossec. "
"In 1797 Méhul adopted his seven-year-old nephew, composer Joseph Daussoigne-Méhul, and Joseph’s younger brother. He played a major role in his nephew's musical education and career; counting him among his pupils at the Conservatoire de Paris. After his death, Daussoigne-Méhul completed Méhul’s unfinished opera Valentine de Milan which premiered at the Opéra-Comique in 1822. He also wrote new recitatives for his opera Stratonice in 1821 for a revival of that work in Paris.
",6,"In 1797 Méhul adopted Méhul's seven-year-old nephew, composer Joseph Daussoigne-Méhul, and his seven-year-old nephew, composer Joseph Daussoigne-Méhul's younger brother. Méhul played a major role in Méhul's nephew's musical education and career; counting his seven-year-old nephew, composer Joseph Daussoigne-Méhul among Méhul's pupils at the Conservatoire de Paris. After Méhul's death, Méhul completed Méhul's unfinished opera Valentine de Milan which premiered at the Opéra-Comique in 1822. Méhul also wrote new recitatives for Méhul's opera Stratonice in 1821 for a revival of his opera Stratonice in Paris. "
"Méhul's most important contribution to music was his operas. He led the generation of composers who emerged in France in the 1790s, which included his friend and rival Luigi Cherubini and his outright enemy Jean-François Le Sueur. Méhul followed the example of the operas which Gluck had written for Paris in the 1770s and applied Gluck's ""reforms"" to opéra comique (a genre which mixed music with spoken dialogue and was not necessarily at all ""comic"" in mood). But he pushed music in a more Romantic direction, showing an increased use of dissonance and an interest in psychological states such as anger and jealousy, thus foreshadowing later Romantic composers such as Weber and Berlioz. Indeed, Méhul was the very first composer to be styled a Romantic; a critic used the term in La chronique de Paris on 1 April 1793 when reviewing Méhul's Le jeune sage et le vieux fou.
",9,"Méhul's's most important contribution to music was Méhul's's operas. Méhul's led the generation of composers who emerged in France in the 1790s, which included Méhul's's friend and rival Luigi Cherubini and Méhul's's outright enemy Jean-François Le Sueur. Méhul's followed the example of the operas which Gluck had written for Paris in the 1770s and applied Gluck's ""reforms"" to opéra comique (a genre which mixed music with spoken dialogue and was not necessarily at all ""comic"" in mood). But Méhul's pushed music in a more Romantic direction, showing an increased use of dissonance and an interest in psychological states such as anger and jealousy, thus foreshadowing later Romantic composers such as Weber and Berlioz. Indeed, Méhul's was the very first composer to be styled the term; a critic used the term in La chronique de Paris on 1 April 1793 when reviewing Méhul's's Le jeune sage et le vieux fou. "
"Méhul's main musical concern was that everything should serve to increase the dramatic impact. As his admirer Berlioz wrote:[Méhul] was fully convinced that in truly dramatic music, when the importance of the situation deserves the sacrifice, the composer should not hesitate as between a pretty musical effect that is foreign to the scenic or dramatic character, and a series of accents that are true but do not yield any surface pleasure. He was convinced that musical expressiveness is a lovely flower, delicate and rare, of exquisite fragrance, which does not bloom without culture, and which a breath can wither; that it does not dwell in melody alone, but that everything concurs either to create or destroy it – melody, harmony, modulation, rhythm, instrumentation, the choice of deep or high registers for the voices or instruments, a quick or slow tempo, and the several degrees of volume in the sound emitted.
",10,"Méhul's's main musical concern was that everything should serve to increase the dramatic impact. As Méhul's's admirer Berlioz wrote:[Méhul] was fully convinced that in truly dramatic music, when the importance of the situation deserves the sacrifice, the composer should not hesitate as between a pretty musical effect that is foreign to the scenic or dramatic character, and a series of accents that are true but do not yield any surface pleasure. Méhul's was convinced that musical expressiveness is a lovely flower, delicate and rare, of exquisite fragrance, which does not bloom without culture, and which a breath can wither; that musical expressiveness does not dwell in melody alone, but that everything concurs either to create or destroy musical expressiveness – melody, harmony, modulation, rhythm, instrumentation, the choice of deep or high registers for the voices or instruments, a quick or slow tempo, and the several degrees of volume in the sound emitted. "
"One way in which Méhul increased dramatic expressivity was to experiment with orchestration. For example, in Uthal, an opera set in the Highlands of Scotland, he eliminated violins from the orchestra, replacing them with the darker sounds of violas in order to add local colour. Méhul's La chasse du jeune Henri (Young Henri's Hunt) provides a more humorous example, with its expanded horn section portraying yelping hounds as well as giving hunting calls. (Sir Thomas Beecham frequently programmed this piece to showcase the Royal Philharmonic horn section.)
",11,"One way in which Méhul increased dramatic expressivity was to experiment with orchestration. For example, in Uthal, an opera set in the Highlands of Scotland, Méhul eliminated violins from the orchestra, replacing violins with the darker sounds of violas in order to add local colour. Méhul's La chasse du jeune Henri (Young Henri's Hunt) provides a more humorous example, with Méhul's La chasse du jeune Henri (Young Henri's Hunt)'s expanded horn section portraying yelping hounds as well as giving hunting calls. (Sir Thomas Beecham frequently programmed Méhul's La chasse du jeune Henri (Young Henri's Hunt) to showcase the Royal Philharmonic horn section.) "
"Méhul's key works of the 1790s were Euphrosine, Stratonice, Mélidore et Phrosine and Ariodant. Ariodant, though a failure at its premiere in 1799, has come in for particular praise from critics. Elizabeth Bartlet calls it ""Mehul's best work of the decade and a highpoint of Revolutionary opera"". It deals with the same tale of passion and jealousy as Handel's 1735 opera Ariodante. As in many of his other operas, Mehul makes use of a structural device called the ""reminiscence motif"", a musical theme associated with a particular character or idea in the opera. This device looks forward to the leitmotifs in Richard Wagner's music dramas. In Ariodant, the reminiscence motif is the cri de fureur (""cry of fury""), expressing the emotion of jealousy. Around 1800, the popularity of such stormy dramas began to wane, replaced by a fashion for the lighter opéra comiques of composers such as François-Adrien Boieldieu. In addition, Mehul's friend Napoleon told him he preferred a more comic style of opera. As a Corsican, Napoleon's cultural background was Italian, and he loved the opera buffa of composers like Paisiello and Cimarosa. Méhul responded with L'irato (""The Angry Man""), a one-act comedy premiered as the work of the Italian composer ""Fiorelli"" in 1801. When it became an immediate success, Méhul revealed the hoax he had played. Méhul also continued to compose works in a more serious vein. Joseph, based on the Biblical story of Joseph and his brothers, is the most famous of these later operas, but its success in France was short-lived. In Germany, however, it won many admirers throughout the nineteenth century, including Wagner. A melody from Joseph is very similar to a popular folk melody widely known in Germany which was used as a song in the Imperial German Navy, and adapted, notoriously, as the tune for the co-national anthem of Nazi Germany, the Horst-Wessel-Lied. It is unclear, however, whether Méhul's melody was the actual provenance of the melody.
",12,"Méhul's's key works of the 1790s were Euphrosine, Stratonice, Mélidore et Phrosine and Ariodant. Ariodant, though a failure at Ariodant's premiere in 1799, has come in for particular praise from critics. Elizabeth Bartlet calls Ariodant ""Méhul's's best work of the 1790s and a highpoint of Revolutionary opera"". Ariodant deals with the same tale of passion and jealousy as Handel's 1735 opera Ariodante. As in many of Méhul's's other operas, Méhul's makes use of a structural device called the ""reminiscence motif"", a musical theme associated with a particular character or idea in the opera. a structural device called the ""reminiscence motif"", a musical theme associated with a particular character or idea in the opera looks forward to the leitmotifs in Richard Wagner's's music dramas. In Ariodant, a structural device called the ""reminiscence motif"", a musical theme associated with a particular character or idea in the opera is the cri de fureur (""cry of fury""), expressing the emotion of jealousy. Around 1800, the popularity of such stormy dramas began to wane, replaced by a fashion for the lighter opéra comiques of composers such as François-Adrien Boieldieu. In addition, Méhul's's friend Napoleon told Méhul's Mehul's friend Napoleon preferred a more comic style of opera. As a Corsican, Mehul's friend Napoleon's cultural background was Italian, and Mehul's friend Napoleon loved the opera buffa of composers like Paisiello and Cimarosa. Méhul's responded with L'irato (""The Angry Man""), a one-act comedy premiered as the work of the Italian composer ""Fiorelli"" in 1801. When L'irato (""The Angry Man""), a one-act comedy premiered as the work of the Italian composer ""Fiorelli"" became an immediate success, Méhul's revealed the hoax Méhul's had played. Méhul's also continued to compose works in a more serious vein. Joseph, based on the Biblical story of Joseph and Joseph's brothers, is the most famous of these later operas, but Joseph, based on the Biblical story of Joseph and his brothers's success in France was short-lived. In Germany, however, Joseph, based on the Biblical story of Joseph and his brothers won many admirers throughout the nineteenth century, including Richard Wagner's. A melody from Joseph, based on the Biblical story of Joseph and his brothers is very similar to a popular folk melody widely known in Germany which was used as a song in the Imperial German Navy, and adapted, notoriously, as the tune for the co-national anthem of Nazi Germany, the Horst-Wessel-Lied. It is unclear, however, whether Méhul's's melody was the actual provenance of A melody from Joseph. "
