ori_text,paragraphIndex,coref_text
"Saint Cecilia (Latin: Sancta Caecilia) was a Roman martyr venerated in Catholic, Orthodox, Anglican, and some Lutheran churches, such as the Church of Sweden. She became the patroness of music and musicians, it being written that, as the musicians played at her wedding, Cecilia ""sang in her heart to the Lord"".  Musical compositions are dedicated to her, and her feast, on 22 November, is the occasion of concerts and musical festivals.
",0,"Saint Cecilia (Latin: Sancta Caecilia) was a Roman martyr venerated in Catholic, Orthodox, Anglican, and some Lutheran churches, such as the Church of Sweden. Saint Cecilia (Latin: Sancta Caecilia) became the patroness of music and musicians, it being written that, as the musicians played at Saint Cecilia (Latin: Sancta Caecilia)'s wedding, Saint Cecilia (Latin: Sancta Caecilia) ""sang in Saint Cecilia (Latin: Sancta Caecilia)'s heart to the Lord"". Musical compositions are dedicated to Saint Cecilia (Latin: Sancta Caecilia), and Saint Cecilia (Latin: Sancta Caecilia)'s feast, on 22 November, is the occasion of concerts and musical festivals. "
"St Cecilia is one of several virgin martyrs commemorated by name in the Canon of the Mass in the Latin Church. The church of Santa Cecilia in Trastevere, founded in the 3rd century by Pope Urban I, is believed to be on the site of the house where she lived and died.
",1,"St Cecilia is one of several virgin martyrs commemorated by name in the Canon of the Mass in the Latin Church. The church of Santa Cecilia in Trastevere, founded in the 3rd century by Pope Urban I, is believed to be on the site of the house where St Cecilia lived and died. "
"It is popularly supposed that Cecilia was a noble lady of Rome who, with her husband Valerian, his brother Tiburtius, and a Roman soldier named Maximus, suffered martyrdom in about 230, under the Emperor Alexander Severus. Giovanni Battista de Rossi, however, argues that instead she perished in Sicily under the Emperor Marcus Aurelius between 176 and 180, citing the report of Venantius Fortunatus, Bishop of Poitiers (d. 600). According to the story, despite her vow of virginity, her parents forced her to marry a pagan nobleman named Valerian. During the wedding, Cecilia sat apart singing to God in her heart, and for that, she was later declared the saint of musicians. When the time came for her marriage to be consummated, Cecilia told Valerian that watching over her was an angel of the Lord, who would punish him if he sexually violated her but would love him if he respected her virginity. When Valerian asked to see the angel, Cecilia replied that he could see the angel if he would go to the third milestone on the Via Appia and be baptized by Pope Urban I. After following Cecilia's advice, he saw the angel standing beside her, crowning her with a chaplet of roses and lilies.
",3,"It is popularly supposed that Cecilia was a noble lady of Rome who, with Cecilia's husband Valerian, her husband Valerian's brother Tiburtius, and a Roman soldier named Maximus, suffered martyrdom in about 230, under the Emperor Alexander Severus. Giovanni Battista de Rossi, however, argues that instead Cecilia perished in Sicily under the Emperor Marcus Aurelius between 176 and 180, citing the report of Venantius Fortunatus, Bishop of Poitiers (d. 600). According to the report of Venantius Fortunatus, Bishop of Poitiers (d. 600), despite Cecilia's vow of virginity, Cecilia's parents forced Cecilia to marry her husband Valerian. During the wedding, Cecilia sat apart singing to God in Cecilia's heart, and for that, Cecilia was later declared the saint of musicians. When the time came for Cecilia's marriage to be consummated, Cecilia told her husband Valerian that watching over Cecilia was an angel of the Lord, who would punish her husband Valerian if her husband Valerian sexually violated Cecilia but would love her husband Valerian if her husband Valerian respected Cecilia's virginity. When her husband Valerian asked to see an angel of the Lord, who would punish him if he sexually violated her but would love him if he respected her virginity, Cecilia replied that her husband Valerian could see an angel of the Lord, who would punish him if he sexually violated her but would love him if he respected her virginity if her husband Valerian would go to the third milestone on the Via Appia and be baptized by Pope Urban I. After following Cecilia's advice, her husband Valerian saw an angel of the Lord, who would punish him if he sexually violated her but would love him if he respected her virginity standing beside Cecilia, crowning Cecilia with a chaplet of roses and lilies. "
"The martyrdom of Cecilia is said to have followed that of her husband Valerian and his brother at the hands of the prefect Turcius Almachius. The legend about Cecilia's death says that after being struck three times on the neck with a sword, she lived for three days, and asked the pope to convert her home into a church. St. Cecilia was buried in the Catacomb of Callixtus and later transferred to the Church of Santa Cecilia in Trastevere. In 1599, her body was found still incorrupt, seeming to be asleep. Cecilia is one of the most famous Roman martyrs, although some elements of the stories recounted about her do not appear in the source material. According to Johann Peter Kirsch, the existence of the martyr is a historical fact. At the same time, some details bear the mark of a pious romance, like many other similar accounts compiled in the fifth and sixth centuries. The relation between Cecilia and Valerian, Tiburtius, and Maximus, mentioned in the Acts of the Martyrs, has some historical foundation. Her feast day has been celebrated since about the fourth century. There is no mention of Cecilia in the Depositio Martyrum, but there is a record of an early Roman church founded by a lady of this name, Santa Cecilia in Trastevere.
",4,"The martyrdom of Cecilia is said to have followed that of Cecilia's husband Valerian and her husband Valerian's brother at the hands of the prefect Turcius Almachius. The legend about Cecilia's death says that after being struck three times on the neck with a sword, Cecilia lived for three days, and asked the pope to convert Cecilia's home into a church. Cecilia was buried in the Catacomb of Callixtus and later transferred to the Church of Santa Cecilia in Trastevere. In 1599, Cecilia's body was found still incorrupt, seeming to be asleep. Cecilia is one of the most famous Roman martyrs, although some elements of the stories recounted about Cecilia do not appear in the source material. According to Johann Peter Kirsch, the existence of Cecilia is a historical fact. At the same time, some details bear the mark of a pious romance, like many other similar accounts compiled in the fifth and sixth centuries. The relation between Cecilia and her husband Valerian, Tiburtius, and Maximus, mentioned in the Acts of the Martyrs, has some historical foundation. Cecilia's feast day has been celebrated since about the fourth century. There is no mention of Cecilia in the Depositio Martyrum, but there is a record of an early Roman church founded by a lady of this name, Santa Cecilia in Trastevere. "
"== Santa Cecilia in Trastevere ==
",5,== Santa Cecilia in Trastevere == 
"The church of Santa Cecilia in Trastevere is reputedly built on the site of the house in which she lived. The original church was constructed in the fourth century; during the ninth century, Pope Paschal I had remains that were supposedly hers buried there. In 1599, while leading a renovation of the church, Cardinal Paolo Emilio Sfondrati had the remains, which he reported to be incorrupt, excavated and reburied.
",6,"The church of Santa Cecilia in Trastevere is reputedly built on the site of the house in which Santa Cecilia in Trastevere lived. The original church was constructed in the fourth century; during the ninth century, Pope Paschal I had remains that were supposedly Santa Cecilia in Trastevere buried there. In 1599, while leading a renovation of The original church, Cardinal Paolo Emilio Sfondrati had the remains, which Cardinal Paolo Emilio Sfondrati reported to be incorrupt, excavated and reburied. "
"The name ""Cecilia"" applied generally to Roman women who belonged to the plebeian clan of the Caecilii. Legends and hagiographies, mistaking it for a personal name, suggest fanciful etymologies. Among those cited by Chaucer in ""The Second Nun's Tale"" are: lily of heaven, the way for the blind, contemplation of heaven and the active life, as if lacking in blindness, and a heaven for people to gaze upon.
",8,"The name ""Cecilia"" applied generally to Roman women who belonged to the plebeian clan of the Caecilii. Legends and hagiographies, mistaking The name ""Cecilia"" for a personal name, suggest fanciful etymologies. Among those cited by Chaucer in ""The Second Nun's Tale"" are: lily of heaven, the way for the blind, contemplation of heaven and the active life, as if lacking in blindness, and a heaven for people to gaze upon. "
"== Patroness of musicians ==
",9,== Patroness of musicians == 
"The first record of a music festival in her honour was held at Évreux in Normandy in 1570. The Accademia Nazionale di Santa Cecilia in Rome is one of the oldest musical institutions in the world. It was founded by the papal bull, Ratione congruit, issued by Sixtus V in 1585, which invoked two saints prominent in Western musical history: Gregory the Great, after whom Gregorian chant is named, and Saint Cecilia, the patron saint of music.
",10,"The first record of a music festival in her honour was held at Évreux in Normandy in 1570. The Accademia Nazionale di Santa Cecilia in Rome is one of the oldest musical institutions in the world. The Accademia Nazionale di Santa Cecilia in Rome was founded by the papal bull, Ratione congruit, issued by Sixtus V in 1585, which invoked two saints prominent in Western musical history: Gregory the Great, after whom Gregorian chant is named, and Saint Cecilia, the patron saint of music. "
"Her feast day became an occasion for musical concerts and festivals that occasioned well-known poems by John Dryden and Alexander Pope and music by Henry Purcell (Ode to St. Cecilia); several oratorios by Marc-Antoine Charpentier (In honorem Caeciliae, Valeriani et Tiburtij canticum; and several versions of Caecilia virgo et martyr to libretti probably written by Philippe Goibaut); George Frideric Handel (Ode for St. Cecilia's Day; Alexander's Feast); Charles Gounod (St. Cecilia Mass); as well as Benjamin Britten, who was born on her feast day (Hymn to St Cecilia, based on a poem by W. H. Auden). Herbert Howells' A Hymn to Saint Cecilia has words by Ursula Vaughan Williams; Gerald Finzi's ""For Saint Cecilia"", Op. 30, was set to verses written by Edmund Blunden; Michael Hurd's 1966 composition ""A Hymn to Saint Cecilia"" sets John Dryden's poem; and Frederik Magle's Cantata to Saint Cecilia is based on the history of Cecilia. The Heavenly Life, a poem from Des Knaben Wunderhorn (which Gustav Mahler used in his Symphony No. 4) mentions that ""Cecilia and all her relations make excellent court musicians.""
",11,"Cecilia's feast day became an occasion for musical concerts and festivals that occasioned well-known poems by John Dryden and Alexander Pope and music by Henry Purcell (Ode to St. Cecilia); several oratorios by Marc-Antoine Charpentier (In honorem Caeciliae, Valeriani et Tiburtij canticum; and several versions of Caecilia virgo et martyr to libretti probably written by Philippe Goibaut); George Frideric Handel (Ode for St. Cecilia's Day; Alexander Pope's Feast); Charles Gounod (St. Cecilia Mass); as well as Benjamin Britten, who was born on Cecilia's feast day (Hymn to St Cecilia, based on a poem by W. H. Auden). Herbert Howells' A Hymn to Saint Cecilia has words by Ursula Vaughan Williams; Gerald Finzi's ""For Saint Cecilia"", Op. 30, was set to verses written by Edmund Blunden; Michael Hurd's 1966 composition ""A Hymn to Saint Cecilia"" sets John Dryden's poem; and Frederik Magle's Cantata to Saint Cecilia is based on the history of Cecilia. The Heavenly Life, a poem from Des Knaben Wunderhorn (which Gustav Mahler used in Gustav Mahler's Symphony No. 4) mentions that ""Cecilia and all Cecilia's relations make excellent court musicians."" "
