ori_text,paragraphIndex,coref_text
"François-Joseph Fétis (French: [fetis]; 25 March 1784 – 26 March 1871) was a Belgian musicologist, composer, teacher, and one of the most influential music critics of the 19th century. His enormous compilation of biographical data in the Biographie universelle des musiciens remains an important source of information today.
",0,"François-Joseph Fétis (French: [fetis]; 25 March 1784 – 26 March 1871) was a Belgian musicologist, composer, teacher, and one of the most influential music critics of the 19th century. François-Joseph Fétis (French: [fetis]; 25 March 1784 – 26 March 1871)'s enormous compilation of biographical data in the Biographie universelle des musiciens remains an important source of information today. "
"Fétis was born in Mons, Hainaut, eldest son of Antoine-Joseph Fetis and Elisabeth Desprets, daughter of a famous chirurgical doctor. He had 9 brothers and sisters. His father was titular organist of the noble chapter of Saint-Waltrude. His grandfather was an organ manufacturer. He was trained as a musician by his father and played at young age on the Choir organ of Saint Waltrude.
",2,"Fétis was born in Mons, Hainaut, eldest son of Antoine-Joseph Fetis and Elisabeth Desprets, daughter of a famous chirurgical doctor. Fétis had 9 brothers and sisters. Fétis's father was titular organist of the noble chapter of Saint-Waltrude. Fétis's grandfather was an organ manufacturer. Fétis was trained as a musician by Fétis's father and played at young age on the Choir organ of Saint-Waltrude. "
"In October 1806 he married to Adélaïde-Louise-Catherine Robert, daughter of the French politician Pierre-François-Joseph Robert and Louise de Keralio, friend of Robespierre. They had 2 sons : most famous was Édouard Fétis, (1812-1909), his eldest son who helped his father with the editions of Revue Musicale and became member of the Royal Academy. In 1866 his wife died, and he had the request to withdraw from the Brussels society and Court. When his father died Eduard inherited his complete library and collection of music instruments.
",3,"In October 1806 Eduard married to Adélaïde-Louise-Catherine Robert, daughter of the French politician Pierre-François-Joseph Robert and Louise de Keralio, friend of Robespierre. They had 2 sons : most famous was Édouard Fétis, (1812-1909), Eduard's eldest son who helped the French politician Pierre-François-Joseph Robert with the editions of Revue Musicale and became member of the Royal Academy. In 1866 Eduard's wife died, and Eduard had the request to withdraw from the Brussels society and Court. When Eduard's father died Eduard inherited Eduard's complete library and collection of music instruments. "
"His talent for composition manifested itself at the age of seven, and at nine years old he was an organist at Saint Waltrude, Mons. In 1800 he went to Paris and completed his studies at the Conservatory under such masters as Boïeldieu, Jean-Baptiste Rey and Louis-Barthélémy Pradher. In 1806 he undertook the revision of the Roman liturgical chants in the hope of discovering and establishing their original form. In this year he also began his Biographie universelle des musiciens, the most important of his works, which did not appear until 1834. In 1821 he was appointed professor at the Paris Conservatory. In 1827 he founded the Revue musicale, the first serious paper in France devoted exclusively to musical matters. Fétis remained in the French capital till 1833, when at the request of Leopold I, he became director of the Royal Conservatory of Brussels and the king's chapelmaster. He also was the founder, and, until his death, the conductor of the celebrated concerts attached to the conservatory of Brussels, and he inaugurated a free series of lectures on musical history and philosophy. Fétis produced a large quantity of original compositions, from the opera and the oratorio to the simple chanson, including several musical hoaxes, the most famous of which is the ""Lute concerto by Valentin Strobel"", premiered with Fernando Sor as soloist.  Carcassi, as well as Sor, participated in the performance. The work is attributed NOT to the Alsascian lutenist Valentin Strobel, but to Jean (Johann) Strobach, a member of a prominent Bohemian family of musicians.  This Strobach (fl. 1650–1720) served Leopold I, and there is no evidence that Fetis's score is a hoax.   The composition was published in 1698, although no copy is known to have survived, except Fetis' manuscript score, which is in the Royal Conservatory Library in Brussels. In 1856, he worked closely with Jean-Baptiste Vuillaume in writing a fascinating treatise about Antonio Stradivari (Antoine Stradivari, luthier célèbre). It includes detailed chapters on the history and development of the violin family, old master Italian violin makers (including the Stradivari and Guarneri families) and an analysis of the bows of François Tourte. His interest in instruments can also be gathered from his very substantial collection, which includes the oldest surviving Arab oud. Fetis had the privilege to have Paganini, Schumann and Berlioz as contemporaries and to work with the violin maker and dealer, Jean Baptiste Vuillaume. Fetis's work provides a unique window into the times and as such is a particularly valuable reference for the modern researcher, dealer and player.
",5,"Fétis's talent for composition manifested His talent for composition at the age of seven, and at nine years old Fétis was an organist at Saint Waltrude, Mons. In 1800 Fétis went to Paris and completed Fétis's studies at the Conservatory under such masters as Boïeldieu, Jean-Baptiste Rey and Louis-Barthélémy Pradher. In this year Fétis undertook the revision of the Roman liturgical chants in the hope of discovering and establishing the Roman liturgical chants's original form. In this year Fétis also began Fétis's Biographie universelle des musiciens, the most important of Fétis's works, which did not appear until 1834. In 1821 Fétis was appointed professor at the Paris Conservatory. In 1827 Fétis founded the Revue musicale, the first serious paper in France devoted exclusively to musical matters. Fétis remained in Paris till 1833, when at the request of Leopold I, Fétis became director of the Royal Conservatory of Brussels and Leopold I's chapelmaster. Fétis also was the founder, and, until Fétis's death, the conductor of the celebrated concerts attached to the conservatory of Brussels, and Fétis inaugurated a free series of lectures on musical history and philosophy. Fétis produced a large quantity of original compositions, from the opera and the oratorio to the simple chanson, including several musical hoaxes, the most famous of which is the ""Lute concerto by Valentin Strobel"", premiered with Fernando Sor as soloist. Carcassi, as well as Fernando Sor, participated in the ""Lute concerto by Valentin Strobel"", premiered with Fernando Sor as soloist. the ""Lute concerto by Valentin Strobel"", premiered with Fernando Sor as soloist is attributed NOT to Valentin Strobel, but to Jean (Johann) Strobach, a member of a prominent Bohemian family of musicians. Jean (Johann) Strobach, a member of a prominent Bohemian family of musicians served Leopold I, and there is no evidence that Fétis's score is a hoax. Fetis's score was published in 1698, although no copy is known to have survived, except Fétis's manuscript score, which is in the Royal Conservatory Library in Brussels. In 1856, Fétis worked closely with Jean-Baptiste Vuillaume in writing a fascinating treatise about Antonio Stradivari (Antoine Stradivari, luthier célèbre). a fascinating treatise about Antonio Stradivari (Antoine Stradivari, luthier célèbre) includes detailed chapters on the history and development of the violin family, old master Italian violin makers (including the Antonio Stradivari and Guarneri families) and an analysis of the bows of François Tourte. Fétis's interest in instruments can also be gathered from Fétis's very substantial collection, which includes the oldest surviving Arab oud. Fétis had the privilege to have Paganini, Schumann and Berlioz as contemporaries and to work with Jean-Baptiste Vuillaume. Fétis's work provides a unique window into the times and as such is a particularly valuable reference for the modern researcher, dealer and player. "
"More important perhaps than his compositions are his writings on music. They are partly historical, such as the Curiosités historiques de la musique (Paris, 1850), and the Histoire générale de la musique (Paris, 1869—1876); and partly theoretical, such as the Méthode des méthodes de piano (Paris, 1840), written in conjunction with Moscheles. While Fétis's critical opinions of contemporary music may seem conservative, his musicological work was ground-breaking, and unusual for the 19th century in attempting to avoid an ethnocentric and present-centered viewpoint. Unlike many others at the time, he did not see music history as a continuum of increasing excellence, moving towards a goal, but rather as something which was continually changing, neither becoming better nor worse, but continually adapting to new conditions. He believed that all cultures and times created art and music which were appropriate to their times and conditions; and he began a close study of Renaissance music as well as European folk music and music of non-European cultures. Thus Fétis built the foundation for what would later be termed comparative musicology.
",6,"More important perhaps than Fétis's's compositions are Fétis's's writings on music. his writings on music are partly historical, such as the Curiosités historiques de la musique (Paris, 1850), and the Histoire générale de la musique (Paris, 1869—1876); and partly theoretical, such as the Méthode des méthodes de piano (Paris, 1840), written in conjunction with Moscheles. While Fétis's's critical opinions of contemporary music may seem conservative, Fétis's's musicological work was ground-breaking, and unusual for the 19th century in attempting to avoid an ethnocentric and present-centered viewpoint. Unlike many others at the 19th century, Fétis's did not see music history as a continuum of increasing excellence, moving towards a goal, but rather as something which was continually changing, neither becoming better nor worse, but continually adapting to new conditions. Fétis's believed that all cultures and times created art and music which were appropriate to all cultures and times's times and conditions; and Fétis's began a close study of Renaissance music as well as European folk music and music of non-European cultures. Thus Fétis's built the foundation for what would later be termed comparative musicology. "
"Fétis died in Brussels. His valuable library was purchased by the Belgian government and presented to the Royal Library. His historical works, despite many inaccuracies, remain of great value for historians. His pupils included Luigi Agnesi, Jean-Delphin Alard, Juan Crisóstomo Arriaga, Louise Bertin, William Cusins, Julius Eichberg, Ferdinand Hérold, Frantz Jehin-Prume, Jacques-Nicolas Lemmens, Adolphe Samuel, and Charles-Marie Widor. See: List of music students by teacher: C to F#François-Joseph Fétis.
",7,"Fétis died in Brussels. Fétis's valuable library was purchased by the Belgian government and presented to the Royal Library. Fétis's historical works, despite many inaccuracies, remain of great value for historians. Fétis's pupils included Luigi Agnesi, Jean-Delphin Alard, Juan Crisóstomo Arriaga, Louise Bertin, William Cusins, Julius Eichberg, Ferdinand Hérold, Frantz Jehin-Prume, Jacques-Nicolas Lemmens, Adolphe Samuel, and Charles-Marie Widor. See: List of music students by teacher: C to Fétis. "
"Master of the Royal Music.
",10,Master of the Royal Music. 
"Grand Officer in the Order of Leopold.
",11,Grand Officer in the Order of Leopold. 
" Kingdom of the Netherlands: Commander in the Order of the Oak Crown.
",12,Kingdom of the Netherlands: Commander in the Order of the Oak Crown. 
" Kingdom of Prussia: Knight of the Order of the Red Eagle.
",13,Kingdom of Prussia: Knight of the Order of the Red Eagle. 
