ori_text,paragraphIndex,coref_text
"Sir Charles Villiers Stanford (30 September 1852 – 29 March 1924) was an Irish composer, music teacher, and conductor of the late Romantic era. Born to a well-off and highly musical family in Dublin, Stanford was educated at the University of Cambridge before studying music in Leipzig and Berlin. He was instrumental in raising the status of the Cambridge University Musical Society, attracting international stars to perform with it.
",0,"Sir Charles Villiers Stanford (30 September 1852 – 29 March 1924) was an Irish composer, music teacher, and conductor of the late Romantic era. Born to a well-off and highly musical family in Dublin, Sir Charles Villiers Stanford (30 September 1852 – 29 March 1924) was educated at the University of Cambridge before studying music in Leipzig and Berlin. Sir Charles Villiers Stanford (30 September 1852 – 29 March 1924) was instrumental in raising the status of the Cambridge University Musical Society, attracting international stars to perform with the Cambridge University Musical Society. "
"While still an undergraduate, Stanford was appointed organist of Trinity College, Cambridge. In 1882, aged 29, he was one of the founding professors of the Royal College of Music, where he taught composition for the rest of his life. From 1887 he was also Professor of Music at Cambridge. As a teacher, Stanford was sceptical about modernism, and based his instruction chiefly on classical principles as exemplified in the music of Brahms. Among his pupils were rising composers whose fame went on to surpass his own, such as Gustav Holst and Ralph Vaughan Williams. As a conductor, Stanford held posts with the Bach Choir and the Leeds triennial music festival.
",1,"While still an undergraduate, Stanford was appointed organist of Trinity College, Cambridge. In 1882, aged 29, Stanford was one of the founding professors of the Royal College of Music, where Stanford taught composition for the rest of Stanford's life. From 1887 Stanford was also Professor of Music at Cambridge. As a teacher, Stanford was sceptical about modernism, and based Stanford's instruction chiefly on classical principles as exemplified in the music of Brahms. Among Stanford's pupils were rising composers whose fame went on to surpass Stanford's own, such as Gustav Holst and Ralph Vaughan Williams. As a conductor, Stanford held posts with the Bach Choir and the Leeds triennial music festival. "
"Stanford composed a substantial number of concert works, including seven symphonies, but his best-remembered pieces are his choral works for church performance, chiefly composed in the Anglican tradition. He was a dedicated composer of opera, but none of his nine completed operas has endured in the general repertory. Some critics regarded Stanford, together with Hubert Parry and Alexander Mackenzie, as responsible for a renaissance in music from the British Isles. However, after his conspicuous success as a composer in the last two decades of the 19th century, his music was eclipsed in the 20th century by that of Edward Elgar as well as former pupils.
",2,"Stanford composed a substantial number of concert works, including seven symphonies, but Stanford's best-remembered pieces are Stanford's choral works for church performance, chiefly composed in the Anglican tradition. Stanford was a dedicated composer of opera, but none of Stanford's nine completed operas has endured in the general repertory. Some critics regarded Stanford, together with Hubert Parry and Alexander Mackenzie, as responsible for a renaissance in music from the British Isles. However, after Stanford's conspicuous success as a composer in the last two decades of the 19th century, Stanford's music was eclipsed in the 20th century by that of Edward Elgar as well as former pupils. "
"Stanford was born in Dublin, the only son of John James Stanford and his second wife, Mary, née Henn. John Stanford was a prominent Dublin lawyer, Examiner to the Court of Chancery in Ireland and Clerk of the Crown for County Meath. His wife was the third daughter of William Henn, Master of the Court of Chancery in Ireland and his wife Susanna Lovett of Liscombe House,  Buckinghamshire, and granddaughter of the judge William Henn. Both parents were accomplished amateur musicians; John Stanford was a cellist and a noted bass singer who was chosen to perform the title role in Mendelssohn's Elijah at the Irish premiere in 1847. Mary Stanford, ""a lady 
",5,"Stanford was born in Dublin, the only son of John James Stanford and John James Stanford's second wife, Mary, née Henn. John James Stanford was a prominent Dublin lawyer, Examiner to the Court of Chancery in Ireland and Clerk of the Crown for County Meath. John James Stanford's wife was the third daughter of William Henn, Master of the Court of Chancery in Ireland and his wife Susanna Lovett of Liscombe House,  Buckinghamshire, and granddaughter of the judge William Henn. John James Stanford and his second wife, Mary, née Henn were accomplished amateur musicians; John James Stanford was a cellist and a noted bass singer who was chosen to perform the title role in Mendelssohn's Elijah at the Irish premiere in 1847. Mary Stanford, ""a lady "
"of great charm"",  was an amateur pianist, capable of playing the solo parts in concertos at Dublin concerts. The young Stanford was given a conventional education at a private day school in Dublin run by Henry Tilney Bassett, who concentrated on the classics to the exclusion of other subjects. Stanford's parents encouraged the boy's precocious musical talent, employing a succession of teachers in violin, piano, organ and composition. Three of his teachers were former pupils of Ignaz Moscheles, including his godmother Elizabeth Meeke, of whom Stanford recalled, ""She taught me, before I was twelve years old, to read at sight. ... She made me play every day at the end of my lesson a Mazurka of Chopin: never letting me stop for a mistake. ... By the time I had played through the whole fifty-two Mazurkas, I could read most music of the calibre my fingers could tackle with comparative ease."" One of the young Stanford's earliest compositions, a march in D♭ major, written when he was eight years old, was performed in the pantomime at the Theatre Royal, Dublin three years later. At the age of seven, Stanford gave a piano recital for an invited audience, playing works by Beethoven, Handel, Mendelssohn, Moscheles, Mozart and Bach. One of his songs was taken up by the University of Dublin Choral Society and was well received. In the 1860s Dublin received occasional visits from international stars, and Stanford was able to hear famous performers such as Joseph Joachim, Henri Vieuxtemps and Adelina Patti. The annual visit of the Italian Opera Company from London, led by Giulia Grisi, Giovanni Matteo Mario and later Thérèse Tietjens, gave Stanford a taste for opera that remained with him all his life. When he was ten, his parents took him to London for the summer, where he stayed with his mother's uncle in Mayfair. While there he took composition lessons from the composer and teacher Arthur O'Leary, and piano lessons from Ernst Pauer, professor of piano at the Royal Academy of Music (RAM). On his return to Dublin, his godmother having left Ireland, he took lessons from Henrietta Flynn, another former Leipzig Conservatory pupil of Moscheles, and later from Robert Stewart, organist of St Patrick's Cathedral, as well as from a third Moscheles pupil, Michael Quarry. During his second spell in London two years later, he met the composer Arthur Sullivan and the musical administrator and writer George Grove, who later played important parts in his career. John Stanford hoped that his son would follow him into the legal profession but accepted his decision to pursue music as a career. However, he stipulated that Stanford should have a conventional university education before going on to musical studies abroad. Stanford tried unsuccessfully for a classics scholarship at Trinity Hall, Cambridge, but gained an organ scholarship, and later a classics scholarship, at Queens' College. By the time he went up to Cambridge in 1870 he had written a substantial number of compositions, including vocal music, both sacred and secular, and orchestral works (a rondo for cello and orchestra and a concert overture).
",6,"of great charm"",  was an amateur pianist, capable of playing the solo parts in concertos at Dublin concerts. The young Stanford was given a conventional education at a private day school in Dublin run by Henry Tilney Bassett, who concentrated on the classics to the exclusion of other subjects. The young Stanford's parents encouraged The young Stanford's precocious musical talent, employing a succession of teachers in violin, piano, organ and composition. Three of The young Stanford's teachers were former pupils of Ignaz Moscheles, including The young Stanford's godmother Elizabeth Meeke, of whom The young Stanford recalled, ""She taught The young Stanford, before The young Stanford was twelve years old, to read at sight. ... She made The young Stanford play every day at the end of The young Stanford's lesson a Mazurka of Chopin: never letting The young Stanford stop for a mistake. ... By the time The young Stanford had played through the whole fifty-two Mazurkas, The young Stanford could read most music of the calibre The young Stanford's fingers could tackle with comparative ease."" One of The young Stanford's earliest compositions, a march in D♭ major, written when The young Stanford was eight years old, was performed in the pantomime at the Theatre Royal, Dublin three years later. At the age of seven, The young Stanford gave a piano recital for an invited audience, playing works by Beethoven, Handel, Mendelssohn, Ignaz Moscheles, Mozart and Bach. One of The young Stanford's songs was taken up by the University of Dublin Choral Society and was well received. In the 1860s Dublin received occasional visits from international stars, and The young Stanford was able to hear famous performers such as Joseph Joachim, Henri Vieuxtemps and Adelina Patti. The annual visit of the Italian Opera Company from London, led by Giulia Grisi, Giovanni Matteo Mario and later Thérèse Tietjens, gave The young Stanford a taste for opera that remained with The young Stanford all The young Stanford's life. When The young Stanford was ten, The young Stanford's parents took The young Stanford to London for the summer, where The young Stanford stayed with The young Stanford's mother's uncle in Mayfair. While there The young Stanford took composition lessons from the composer and teacher Arthur O'Leary, and piano lessons from Ernst Pauer, professor of piano at the Royal Academy of Music (RAM). On The young Stanford's return to Dublin, The young Stanford's godmother having left Ireland, The young Stanford took lessons from Henrietta Flynn, another former Leipzig Conservatory pupil of Ignaz Moscheles, and later from Robert Stewart, organist of St Patrick's Cathedral, as well as from a third Ignaz Moscheles pupil, Michael Quarry. During The young Stanford's second spell in London two years later, The young Stanford met the composer Arthur Sullivan and the musical administrator and writer George Grove, who later played important parts in The young Stanford's career. John Stanford hoped that John Stanford's son would follow John Stanford into the legal profession but accepted John Stanford's decision to pursue music as a career. However, John Stanford stipulated that The young Stanford should have a conventional university education before going on to musical studies abroad. The young Stanford tried unsuccessfully for a classics scholarship at Trinity Hall, Cambridge, but gained an organ scholarship, and later a classics scholarship, at Queens' College. By the time The young Stanford went up to Cambridge in 1870 The young Stanford had written a substantial number of compositions, including vocal music, both sacred and secular, and orchestral works (a rondo for cello and orchestra and a concert overture). "
"Stanford immersed himself in the musical life of the university to the detriment of his Latin and Greek studies. He composed religious and secular vocal works, a piano concerto, and incidental music for Longfellow's play A Spanish Student. In November 1870 he appeared as piano soloist with the Cambridge University Musical Society (CUMS), and quickly became its assistant conductor and a committee member. The society had declined in excellence since its foundation in 1843. Its choir consisted solely of men and boys; the lack of women singers severely limited the works that the society could present. Stanford was unable to persuade the members to admit women, and so he staged what The Musical Times called ""a bloodless revolution."" In February 1872 he co-founded a mixed choir, the Amateur Vocal Guild, whose performances immediately put those of the CUMS singers in the shade. The members of CUMS rapidly changed their minds, and agreed to a merger of the two choirs, with women given associate membership of the society. The conductor of the combined choir was John Larkin Hopkins, who was also organist of Trinity College. He became ill, and handed over the conductorship to Stanford in 1873. Stanford was also appointed Hopkins's deputy organist at Trinity, and moved from Queens' to Trinity in April 1873. In the summer of that year Stanford made his first trip to continental Europe. He went to Bonn for the Schumann Festival held there, where he met Joachim and Brahms. His growing love of the music of Schumann and Brahms marked him as a classicist at a time when many music-lovers were divided into the classical or the modernist camps, the latter represented by the music of Liszt and Wagner. Stanford was not constrained by the fashion for belonging to one camp or the other; he immensely admired Die Meistersinger though he was unenthusiastic about some of Wagner's other works. After leaving Bonn he returned home by way of Switzerland and then Paris, where he saw Meyerbeer's Le prophète. Hopkins's illness proved fatal, and after his death the Trinity authorities invited Stanford to take over as organist of the college. He accepted with the proviso that he was to be released each year for a spell of musical study in Germany. The fellows of the college resolved on 21 February 1874:
",8,"Stanford immersed Stanford in the musical life of the university to the detriment of Stanford's Latin and Greek studies. Stanford composed religious and secular vocal works, a piano concerto, and incidental music for Longfellow's play A Spanish Student. In November 1870 Stanford appeared as piano soloist with the Cambridge University Musical Society (CUMS), and quickly became the Cambridge University Musical Society (CUMS)'s assistant conductor and a committee member. the Cambridge University Musical Society (CUMS) had declined in excellence since the Cambridge University Musical Society (CUMS)'s foundation in 1843. the Cambridge University Musical Society (CUMS)'s choir consisted solely of men and boys; the lack of women singers severely limited the works that the Cambridge University Musical Society (CUMS) could present. Stanford was unable to persuade the members to admit women, and so Stanford staged what The Musical Times called ""a bloodless revolution."" In February 1872 Stanford co-founded a mixed choir, the Amateur Vocal Guild, whose performances immediately put those of the the Cambridge University Musical Society (CUMS) singers in the shade. The members of the Cambridge University Musical Society (CUMS) rapidly changed the members's minds, and agreed to a merger of the two choirs, with women given associate membership of the Cambridge University Musical Society (CUMS). The conductor of a mixed choir, the Amateur Vocal Guild, whose performances immediately put those of the CUMS singers in the shade was John Larkin Hopkins, who was also organist of Trinity College. John Larkin Hopkins, who was also organist of Trinity College became ill, and handed over the conductorship to Stanford in that year. Stanford was also appointed John Larkin Hopkins, who was also organist of Trinity College's deputy organist at Trinity College, and moved from Queens' to Trinity College in April that year. In the summer of that year Stanford made Stanford's first trip to continental Europe. Stanford went to Bonn for the Schumann Festival held there, where Stanford met Joachim and Brahms. Stanford's growing love of the music of Schumann and Brahms marked Stanford as a classicist at a time when many music-lovers were divided into the classical or the modernist camps, the latter represented by the music of Liszt and Wagner. Stanford was not constrained by the fashion for belonging to one camp or the other; Stanford immensely admired Die Meistersinger though Stanford was unenthusiastic about some of Wagner's other works. After leaving Bonn Stanford returned home by way of Switzerland and then Paris, where Stanford saw Meyerbeer's Le prophète. John Larkin Hopkins, who was also organist of Trinity College's illness proved fatal, and after John Larkin Hopkins, who was also organist of Trinity College's death the Trinity College authorities invited Stanford to take over as organist of Trinity College. Stanford accepted with the proviso that Stanford was to be released each year for a spell of musical study in Germany. The fellows of Trinity College resolved on 21 February 1874: "
"Charles Villiers Stanford (undergraduate of the College) be appointed organist at a salary of £100 p. a. for the next two years in addition to rooms and Commons when in residence. The organist to be allowed to be abroad during the two years mentioned for one term and the vacations for the purpose of studying music in Germany, the college undertaking to find a substitute in his absence.
",9,"Charles Villiers Stanford (undergraduate of the College) be appointed organist at a salary of £100 p. a. for the next two years in addition to rooms and Commons when in residence. The organist to be allowed to be abroad during the two years mentioned for one term and the vacations for the purpose of studying music in Germany, the College undertaking to find a substitute in The organist's absence. "
"Two days after his appointment, Stanford took the final examinations for his classics degree. He ranked 65th of 66, and was awarded a third-class degree.
",10,"Two days after his appointment, Stanford took the final examinations for his classics degree. He ranked 65th of 66, and was awarded a third-class degree. "
"On the recommendation of Sir William Sterndale Bennett, former professor of music at Cambridge and now director of the Royal Academy of Music, Stanford went to Leipzig in the summer of 1874 for lessons with Carl Reinecke, professor of composition and piano at the Leipzig Conservatory. The composer Thomas Dunhill commented that by 1874 it was ""the tail-end of the Leipzig ascendancy, when the great traditions of Mendelssohn had already begun
",12,"On the recommendation of Sir William Sterndale Bennett, former professor of music at Cambridge and now director of the Royal Academy of Music, Stanford went to Leipzig in the summer of 1874 for lessons with Carl Reinecke, professor of composition and piano at the Leipzig Conservatory. The composer Thomas Dunhill commented that by 1874 it was ""the tail-end of the Leipzig ascendancy, when the great traditions of Mendelssohn had already begun "
"Nevertheless, Stanford did not seriously consider studying anywhere else. Neither Dublin nor London offered any comparable musical training; the most prestigious British music school, the Royal Academy of Music (RAM), was at that time hidebound and reactionary. He was dismayed to find in Leipzig that Bennett had recommended him to a German pedant no more progressive than the teachers at the RAM. Stanford said of Reinecke, ""Of all the dry musicians I have ever known he was the most desiccated. He had not a good word for any contemporary composer... He loathed Wagner ... sneered at Brahms and had no enthusiasm of any sort."" Stanford's biographer Paul Rodmell suggests that Reinecke's ultra-conservatism may have been unexpectedly good for his pupil ""as it may have encouraged Stanford to kick against the traces."" During his time in Leipzig Stanford took piano lessons from Robert Papperitz (1826–1903), organist of the city's Nikolaikirche, whom he found more helpful. Among Stanford's compositions in 1874 was a setting of part one of Longfellow's poem The Golden Legend. He intended to set the entire poem, but gave up, defeated by Longfellow's ""numerous but unconnected characters."" Stanford ignored this and other early works when assigning opus numbers in his mature years. The earliest compositions in his official list of works are a four-movement Suite for piano and a Toccata for piano, which both date from 1875. After a second spell in Leipzig with Reinecke in 1875, which was no more productive than the first, Stanford was recommended by Joachim to study in Berlin the following year with Friedrich Kiel, whom Stanford found ""a master at once sympathetic and able ... I learnt more from him in three months, than from all the others in three years.""
",14,"Nevertheless, Stanford did not seriously consider studying anywhere else. Neither Dublin nor London offered any comparable musical training; the most prestigious British music school, the Royal Academy of Music (RAM), was at that time hidebound and reactionary. Stanford was dismayed to find in Leipzig that Bennett had recommended Stanford to a German pedant no more progressive than the teachers at the most prestigious British music school, the Royal Academy of Music (RAM),. Stanford said of a German pedant no more progressive than the teachers at the RAM, ""Of all the dry musicians Stanford have ever known a German pedant no more progressive than the teachers at the RAM was the most desiccated. a German pedant no more progressive than the teachers at the RAM had not a good word for any contemporary composer... a German pedant no more progressive than the teachers at the RAM loathed Wagner ... sneered at Brahms and had no enthusiasm of any sort."" Stanford's biographer Paul Rodmell suggests that a German pedant no more progressive than the teachers at the RAM's ultra-conservatism may have been unexpectedly good for a German pedant no more progressive than the teachers at the RAM's pupil ""as Reinecke's ultra-conservatism may have encouraged Stanford to kick against the traces."" During Stanford's time in Leipzig Stanford took piano lessons from Robert Papperitz (1826–1903), organist of Leipzig's Nikolaikirche, whom Stanford found more helpful. Among Stanford's compositions in 1874 was a setting of part one of Longfellow's's poem The Golden Legend. Stanford intended to set Longfellow's poem The Golden Legend, but gave up, defeated by Longfellow's's ""numerous but unconnected characters."" Stanford ignored a setting of part one of Longfellow's poem The Golden Legend and other early works when assigning opus numbers in Stanford's mature years. The earliest compositions in Stanford's official list of works are a four-movement Suite for piano and a Toccata for piano, which The earliest compositions in his official list of works date from 1875. After a second spell in Leipzig with a German pedant no more progressive than the teachers at the RAM in 1875, which was no more productive than the first, Stanford was recommended by Joachim to study in Berlin the following year with Friedrich Kiel, whom Stanford found ""a master at once sympathetic and able ... Stanford learnt more from Friedrich Kiel, whom Stanford found ""a master at once sympathetic and able in three months, than from all the others in three years."" "
