ori_text,paragraphIndex,coref_text
"Agnes Zimmermann (5 July 1847 – 14 November 1925) was a German concert pianist and composer who lived in England.
",0,Agnes Zimmermann (5 July 1847 – 14 November 1925) was a German concert pianist and composer who lived in England. 
"Agnes Marie Jacobina Zimmermann was born in Cologne, Germany. Her family moved to England, and she was enrolled at the Royal Academy of Music at the age of nine, where her teachers were Charles Steggall and Cipriani Potter. Later she studied under Ernst Pauer and Sir George Macfarren. Zimmermann received the Kings Scholarship from 1860 to 1862 and made her public debut 1863 at The Crystal Palace playing Beethoven's Emperor Concerto. After ending her studies, Zimmermann went on a tour of Germany, followed by concert tours in 1879, 1880, 1882 and 1883. She published her own editions of Sonatas by Beethoven and Mozart and compositions by Robert Schumann. Zimmermann moved in with feminist Lady Louisa Goldsmid after the latter's husband, barrister Sir Francis Goldsmid died in 1878. Zimmermann was said to have given eighteen years of ""devoted attention"" to Goldsmid and it has been speculated that this was a lesbian relationship.
",2,"Agnes Marie Jacobina Zimmermann was born in Cologne, Germany. Agnes Marie Jacobina Zimmermann's family moved to England, and Agnes Marie Jacobina Zimmermann was enrolled at the Royal Academy of Music at the age of nine, where Agnes Marie Jacobina Zimmermann's teachers were Charles Steggall and Cipriani Potter. Later Agnes Marie Jacobina Zimmermann studied under Ernst Pauer and Sir George Macfarren. Agnes Marie Jacobina Zimmermann received the Kings Scholarship from 1860 to 1862 and made Agnes Marie Jacobina Zimmermann's public debut 1863 at The Crystal Palace playing Beethoven's's Emperor Concerto. After ending Agnes Marie Jacobina Zimmermann's studies, Agnes Marie Jacobina Zimmermann went on a tour of Germany, followed by concert tours in 1879, 1880, 1882 and 1883. Agnes Marie Jacobina Zimmermann published Agnes Marie Jacobina Zimmermann's own editions of Sonatas by Beethoven's and Mozart and compositions by Robert Schumann. Agnes Marie Jacobina Zimmermann moved in with feminist Lady Louisa Goldsmid after feminist Lady Louisa Goldsmid's husband, barrister Sir Francis Goldsmid died in 1878. Agnes Marie Jacobina Zimmermann was said to have given eighteen years of ""devoted attention"" to feminist Lady Louisa Goldsmid and it has been speculated that this was a lesbian relationship. "
"During the 1880 decade, she composed Variations on Mendelssohn's ‘ ‘Hirtenlied’ (Shepherd's Song) a brief melody penned during a trip to London in 1829 and called ‘Hirtenlied’ (Shepherd's Song) – was turned into a  set of variations for flute and piano in 1880 by Anglo-German pianist and composer Agnes Zimmermann (1847-1925).
",3,"During the 1880 decade, she composed Variations on Mendelssohn's ‘ ‘Hirtenlied’ (Shepherd's Song) a brief melody penned during a trip to London in 1829 and called ‘Hirtenlied’ (Shepherd's Song) – was turned into a  set of variations for flute and piano in 1880 by Anglo-German pianist and composer Agnes Zimmermann (1847-1925). "
"Several notable composers dedicated works to her, including George Alexander Macfarren's Three Sonatas (1880) and Michele Esposito's Ballades, Op. 59 (1907). Zimmermann died in London in 1925.
",4,"Several notable composers dedicated works to Zimmermann, including George Alexander Macfarren's Three Sonatas (1880) and Michele Esposito's Ballades, Op. 59 (1907). Zimmermann died in London in 1925. "
"Zimmermann composed music for chamber orchestra, piano solos, and vocal pieces.
",6,"Zimmermann composed music for chamber orchestra, piano solos, and vocal pieces. "
"Three sonatas for piano and violin, Opp. 16, 21 and 23
",8,"Three sonatas for piano and violin, Opp. 16, 21 and 23 "
"Cello Sonata, Op. 17 (published 1872 by Schott)
",9,"Cello Sonata, Op. 17 (published 1872 by Schott) "
"Trio for piano, violin and cello, Op. 19
",10,"Trio for piano, violin and cello, Op. 19 "
"Presto alla Tarantella, Op. 15
",11,"Presto alla Tarantella, Op. 15 "
"Variations on Mendelssohn's ‘Hirtenlied’ (1880)
",12,Variations on Mendelssohn's ‘Hirtenlied’ (1880) 
