ori_text,paragraphIndex,coref_text
"Ignace Joseph Pleyel (French: [plɛjɛl]; German: [ˈplaɪl̩]; 18 June 1757 – 14 November 1831) was an Austrian-born French composer and piano builder of the Classical period.
",0,Ignace Joseph Pleyel (French: [plɛjɛl]; German: [ˈplaɪl̩]; 18 June 1757 – 14 November 1831) was an Austrian-born French composer and piano builder of the Classical period. 
"He was born in Ruppersthal in Lower Austria, the son of a schoolmaster named Martin Pleyl. He was the 24th of 38 children in the family. While still young, he probably studied with Johann Baptist Vanhal, and from 1772 he became the pupil of Joseph Haydn in Eisenstadt. As with Beethoven, born 13 years later, Pleyel benefited in his study from the sponsorship of aristocracy, in this case Count Ladislaus Erdődy (1746–1786). Pleyel evidently had a close relationship with Haydn, who considered him to be a superb student.
",3,"Pleyel was born in Ruppersthal in Lower Austria, the son of a schoolmaster named Martin Pleyl. Pleyel was the 24th of 38 children in the family. While still young, Pleyel probably studied with Johann Baptist Vanhal, and from 1772 Pleyel became the pupil of Joseph Haydn in Eisenstadt. As with Beethoven, born 13 years later, Pleyel benefited in Pleyel's study from the sponsorship of aristocracy, in this case Count Ladislaus Erdődy (1746–1786). Pleyel evidently had a close relationship with Haydn, who considered Pleyel to be a superb student. "
"Among Pleyel's apprentice work from this time was a puppet opera Die Fee Urgele, (1776) performed in the marionette theater at the palace of Eszterháza and in Vienna. Pleyel apparently also wrote at least part of the overture of Haydn's opera Das abgebrannte Haus, from about the same time.
",4,"Among Pleyel's's apprentice work from this time was a puppet opera Die Fee Urgele, (1776) performed in the marionette theater at the palace of Eszterháza and in Vienna. Pleyel's apparently also wrote at least part of the overture of Haydn's opera Das abgebrannte Haus, from about the same time. "
"Pleyel's first professional position may have been as Kapellmeister for Count Erdődy, although this is not known for certain. Among his early publications was a set of six string quartets, his opus 1.
",5,"Pleyel's's first professional position may have been as Kapellmeister for Count Erdődy, although this is not known for certain. Among Pleyel's's early publications was a set of six string quartets, Pleyel's's opus 1. "
"In the early 1780s, Pleyel visited Italy, where he composed an opera (Ifigenia in Aulide) and works commissioned by the king of Naples, Ferdinand I.
",6,"In the early 1780s, Pleyel visited Italy, where Pleyel composed an opera (Ifigenia in Aulide) and works commissioned by the king of Naples, Ferdinand I. "
"=== Strasbourg 1783–1795 ===
",7,=== Strasbourg 1783–1795 === 
"Attracted to the benefits associated with an organist position, Pleyel moved to Strasbourg, France, in 1783 to work alongside Franz Xaver Richter, the maître de chapelle at the Strasbourg Cathedral. The cathedral was extremely appealing to Pleyel as it possessed a full orchestra, a choir, and a large budget devoted to performances. After establishing himself in France, Pleyel voluntarily called himself by the French version of his name, Ignace. While he was the assistant maître de chapelle at Strasbourg Cathedral, he wrote more works than during any other period in his musical career (1783–1793). At the cathedral, he would organize concerts that featured his symphonies concertantes and liturgical music. After Richter's death in 1789, Pleyel assumed the function of full maître de chapelle. In 1788, Pleyel married Françoise-Gabrielle Lefebvre, the daughter of a Strasbourg carpet weaver. The couple had four children, the eldest being their son Camille. Maria Pleyel, née Moke (1811–1875), the wife of Camille, was one of the most accomplished pianists of her time. In 1791, the French Revolution abolished musical performances in church as well as public concerts. Seeking alternative employment, Pleyel traveled to London, where he led the ""Professional Concerts"" organized by Wilhelm Cramer. In this capacity Pleyel inadvertently played the role of his teacher's rival, as Haydn was at the same time leading the concert series organized by Johann Peter Salomon. Although the two composers were rivals professionally, they remained on good terms personally.
",8,"Attracted to the benefits associated with an organist position, Pleyel moved to Strasbourg, France, in 1783 to work alongside Franz Xaver Richter, the maître de chapelle at the Strasbourg Cathedral. the Strasbourg Cathedral was extremely appealing to Pleyel as the Strasbourg Cathedral possessed a full orchestra, a choir, and a large budget devoted to performances. After establishing Pleyel in France, Pleyel voluntarily called Pleyel by the French version of Pleyel's name, Ignace. While Pleyel was the assistant maître de chapelle at the Strasbourg Cathedral, Pleyel wrote more works than during any other period in Pleyel's musical career (1783–1793). At the Strasbourg Cathedral, Pleyel would organize concerts that featured Pleyel's symphonies concertantes and liturgical music. After Franz Xaver Richter, the maître de chapelle at the Strasbourg Cathedral's death in 1789, Pleyel assumed the function of full maître de chapelle. In 1788, Pleyel married Françoise-Gabrielle Lefebvre, the daughter of a Strasbourg, France, carpet weaver. The couple had four children, the eldest being The couple's son Camille. Maria Pleyel, née Moke (1811–1875), the wife of their son Camille, was one of the most accomplished pianists of Maria Pleyel, née Moke (1811–1875), the wife of Camille's time. In 1791, the French Revolution abolished musical performances in church as well as public concerts. Seeking alternative employment, Pleyel traveled to London, where Pleyel this capacity the ""Professional Concerts"" organized by Wilhelm Cramer. In this capacity Pleyel inadvertently played the role of Pleyel's teacher's rival, as Haydn was at the same time leading the concert series organized by Johann Peter Salomon. Although the two composers were rivals professionally, the two composers remained on good terms personally. "
"Just like Haydn, Pleyel made a fortune from his London visit. On his return to Strasbourg, he bought a large house, the moated Château d'Ittenwiller 48°23′03.8″N 7°26′33″E, about 35 km south, between nearby Saint-Pierre and Eichhoffen in the Bas-Rhin department.
",9,"Just like Haydn, Pleyel made a fortune from Pleyel's London visit. On Pleyel's return to Strasbourg, Pleyel bought a large house, the moated Château d'Ittenwiller 48°23′03.8″N 7°26′33″E, about 35 km south, between nearby Saint-Pierre and Eichhoffen in the Bas-Rhin department. "
"With the onset of the Reign of Terror in 1793 and 1794, life in France became dangerous for many, not excluding Pleyel. He was brought before the Committee of Public Safety a total of seven times due to the following: his foreign status, his recent purchase of a château, and his ties with the Strasbourg Cathedral. He was subsequently labeled a Royalist collaborator. The outcome of the committee's attentions could easily have been imprisonment or even execution. With prudent opportunism, Pleyel preserved his future by writing compositions in honor of the new republic. All were written in Strasbourg at times surrounding the Terror. Below are the pieces composed with dates of publication and details:
",10,"With the onset of the Reign of Terror in 1793 and 1794, life in France became dangerous for many, not excluding Pleyel. Pleyel was brought before the Committee of Public Safety a total of seven times due to the following: Pleyel's foreign status, Pleyel's recent purchase of a château, and Pleyel's ties with the Strasbourg Cathedral. Pleyel was subsequently labeled a Royalist collaborator. The outcome of the Committee of Public Safety's attentions could easily have been imprisonment or even execution. With prudent opportunism, Pleyel preserved Pleyel's future by writing compositions in honor of France. compositions in honor of the new republic were written in Strasbourg at times surrounding the Reign of Terror. Below are the pieces composed with dates of publication and details: "
"La Prise de Toulon (""The capture of Toulon"") for solo and 3 voice choir with piano accompaniment. (19 February 1794)
",11,"La Prise de Toulon (""The capture of Toulon"") for solo and 3 voice choir with piano accompaniment. (19 February 1794) "
"Hymne de Pleyel chanté au Temple de la Raison (""Hymn sung in the Temple of Reason"") for choir with piano accompaniment. (1793 or 1794; dates disputed)
",12,"Hymne de Pleyel chanté au Temple de la Raison (""Hymn sung in the Temple of Reason"") for choir with piano accompaniment. (1793 or 1794; dates disputed) "
"Hymne à l'Être Suprême (""Hymn to the Supreme Being"") two part cantata (performed 8 June 1794)
",13,"Hymne à l'Être Suprême (""Hymn to the Supreme Being"") two part cantata (performed 8 June 1794) "
"La Révolution du 10 août (""The Revolution of August 10"") for soloists, choir, and orchestra (10 August 1794)Most of these compositions debuted at the Strasbourg Cathedral, which was known at the time as the Temple de l'Être Suprême (Temple of the Supreme Being), as churches were outlawed during the Terror. Pleyel became a naturalized French citizen and thus came to be known as Citoyen (citizen) Pleyel. With his involvement in artistic propaganda and loyalism to the new regime, Pleyel can be seen as the ultimate musical champion of Strasbourg republicanism. In addition to composing the above works for the Strasbourg public, Pleyel also contributed to the Parisian music scene during the Revolution. One example is Le Jugement de Pâris, a pantomime-ballet by Citoyen (Citizen) Gardel and performed with Pleyel's music (along with that of Haydn, and Étienne Méhul) on 5 March 1793.
",14,"La Révolution du 10 août (""The Revolution of August 10"") for soloists, choir, and orchestra (10 August 1794)Most of these compositions debuted at the Strasbourg Cathedral, which was known at the time as the Temple de l'Être Suprême (Temple of the Supreme Being), as churches were outlawed during the Terror. Pleyel became a naturalized French citizen and thus came to be known as Citoyen (citizen) Pleyel. With Pleyel's involvement in artistic propaganda and loyalism to the new regime, Pleyel can be seen as the ultimate musical champion of Strasbourg republicanism. In addition to composing these compositions for the Strasbourg public, Pleyel also contributed to the Parisian music scene during the Terror. One example is Le Jugement de Pâris, a pantomime-ballet by Citoyen (Citizen) Gardel and performed with Pleyel's music (along with that of Haydn, and Étienne Méhul) on 5 March 1793. "
