ori_text,paragraphIndex,coref_text
"Ignacy Jan Paderewski (Polish: [iɡˈnatsɨ ˈjan padɛˈrɛfskʲi]; 18 November [O.S. 6 November] 1860 – 29 June 1941) was a Polish pianist and composer who became a spokesman for Polish independence. In 1919, he was the new nation's Prime Minister and foreign minister during which he signed the Treaty of Versailles, which ended World War I. A favorite of concert audiences around the world, his musical fame opened access to diplomacy and the media, as possibly did his status as a freemason, and charitable work of his second wife, Helena Paderewska. During World War I, Paderewski advocated an independent Poland, including by touring the United States, where he met with President Woodrow Wilson, who came to support the creation of an independent Poland in his Fourteen Points at the Paris Peace Conference in 1919, which led to the Treaty of Versailles. Shortly after his resignations from office, Paderewski resumed his concert career to recoup his finances and rarely visited the politically chaotic Poland thereafter, the last time being in 1924.
",0,"Ignacy Jan Paderewski (Polish: [iɡˈnatsɨ ˈjan padɛˈrɛfskʲi]; 18 November [O.S. 6 November] 1860 – 29 June 1941) was a Polish pianist and composer who became a spokesman for Polish independence. In 1919, Paderewski was the new nation's's Prime Minister and foreign minister during which Paderewski signed the Treaty of Versailles, which ended World War I. A favorite of concert audiences around the world, Paderewski's musical fame opened access to diplomacy and the media, as possibly did Paderewski's status as a freemason, and charitable work of Paderewski's second wife, Helena Paderewska. During World War I., Paderewski advocated an independent Poland, including by touring the United States, where Paderewski met with President Woodrow Wilson, who came to support the creation of an independent Poland in his Fourteen Points at the Paris Peace Conference in 1919, which led to the Treaty of Versailles, which ended World War I.. Shortly after Paderewski's resignations from office, Paderewski resumed Paderewski's concert career to recoup Paderewski's finances and rarely visited the new nation's thereafter, the last time being in 1924. "
"== Early life, marriage and education ==
",1,"== Early life, marriage and education == "
"Paderewski was born to Polish parents in the village of Kuryłówka (Kurilivka), Litin uyezd, in the Podolia Governorate of the Russian Empire. The village is now  part of the Khmilnyk raion of Vinnytsia Oblast in Ukraine. His father, Jan Paderewski, administered large estates. His mother, Poliksena, née Nowicka, died several months after Paderewski was born, and he was raised mostly by distant relatives. From his early childhood, Paderewski was interested in music. He initially lived at a private estate near Zhytomyr, where he moved with his father. However, soon after his father's arrest in connection with the January Uprising (1863), he was adopted by his aunt. After being released, Paderewski's father married again and moved to the town of Sudylkov, near Shepetovka. Initially, Paderewski took piano lessons with a private tutor. At the age of 12, in 1872, he went to Warsaw and was admitted to the Warsaw Conservatory. Upon graduating in 1878, he became a tutor of piano classes at his alma mater. In 1880, Paderewski married a fellow student at the conservatory, Antonina Korsakówna. The next year, their son Alfred was born severely handicapped. Antonina never recovered from childbirth and died several weeks later. Paderewski decided to devote himself to music and left his son in the care of friends, and in 1881, he went to Berlin to study music composition with Friedrich Kiel and Heinrich Urban.
",2,"Paderewski was born to Polish parents in the village of Kuryłówka (Kurilivka), Litin uyezd, in the Podolia Governorate of the Russian Empire. The village is now  part of the Khmilnyk raion of Vinnytsia Oblast in Ukraine. Paderewski's father, Jan Paderewski, administered large estates. Paderewski's mother, Poliksena, née Nowicka, died several months after Paderewski was born, and Paderewski was raised mostly by distant relatives. From Paderewski's early childhood, Paderewski was interested in music. Paderewski initially lived at a private estate near Zhytomyr, where Paderewski moved with Paderewski's father. However, soon after Paderewski's father's arrest in connection with the January Uprising (1863), Paderewski was adopted by Paderewski's aunt. After being released, Paderewski's father married again and moved to the town of Sudylkov, near Shepetovka. Initially, Paderewski took piano lessons with a private tutor. At the age of 12, in 1872, Paderewski went to Warsaw and was admitted to the Warsaw Conservatory. Upon graduating in 1878, Paderewski became a tutor of piano classes at Paderewski's alma mater. In 1880, Paderewski married a fellow student at the Warsaw Conservatory, Antonina Korsakówna. The next year, their son Alfred was born severely handicapped. a fellow student at the conservatory, Antonina Korsakówna never recovered from childbirth and died several weeks later. Paderewski decided to devote Paderewski to music and left Paderewski's son in the care of friends, and in 1881, Paderewski went to Berlin to study music composition with Friedrich Kiel and Heinrich Urban. "
"A chance meeting in 1884 with a famous Polish actress, Helena Modrzejewska, began his career as a virtuoso pianist. Modrzejewska arranged for a public concert and joint appearance in Kraków's Hotel Saski to raise funds for Paderewski's further piano study. The scheme was a tremendous success, and Paderewski soon moved to Vienna, where he studied with Theodor Leschetizky (Teodor Leszetycki). He married his second wife, Helena Paderewska (née von Rosen)(1856–1934), shortly after she received an annulment of a prior marriage, on 31 May 1899. While she had previously cared for his son Alfred (1880–1901), they had no children together.
",3,"A chance meeting in 1884 with a famous Polish actress, Helena Modrzejewska, began Paderewski's's career as a virtuoso pianist. a famous Polish actress, Helena Modrzejewska The scheme for a public concert and joint appearance in Kraków's Hotel Saski to raise funds for Paderewski's's further piano study. The scheme was a tremendous success, and Paderewski's soon moved to Vienna, where Paderewski's studied with Theodor Leschetizky (Teodor Leszetycki). Paderewski's married Paderewski's's second wife, Helena Paderewska (née von Rosen)(1856–1934), shortly after his second wife, Helena Paderewska (née von Rosen)(1856–1934) received an annulment of a prior marriage, on 31 May 1899. While his second wife, Helena Paderewska (née von Rosen)(1856–1934) had previously cared for Paderewski's's son Alfred (1880–1901), they had no children together. "
"== Pianist, composer and supporter of new composers ==
",4,"== Pianist, composer and supporter of new composers == "
"After three years of diligent study and a teaching appointment in Strasbourg which Leschetizky arranged, Paderewski made his concert debut in Vienna in 1887. He soon gained great popularity and had popular successes in Paris in 1889 and in London in 1890. Audiences responded to his brilliant playing with almost extravagant displays of admiration, and Paderewski also gained access to the halls of power. In 1891, Paderewski repeated his triumphs on an American tour; he would tour the country more than 30 times for the next five decades, and it would become his second home. His stage presence, striking looks, and immense charisma contributed to his stage success, which later proved important in his political and charitable activities. His name became synonymous with the highest level of piano virtuosity. Not everyone was equally impressed, however. After hearing Paderewski for the first time, Moriz Rosenthal quipped, ""Yes, he plays well, I suppose, but he's no Paderewski.""Paderewski kept up a furious pace of touring and composition, including many of his own piano compositions in his concerts. He also wrote an opera, Manru, which is still the only opera by a Polish composer that was ever performed in the Metropolitan Opera's 135-year history. A ""lyric drama,"" Manru is an ambitious work that was formally inspired by Wagner's music dramas. It lacks an overture and closed-form arias but uses Wagner's device of leitmotifs to represent characters and ideas. The story centres on a doomed love triangle, social inequality, and racial prejudice (Manru is a Gypsy), and it is set in the Tatra Mountains. In addition to the Met, Manru was staged in Dresden (a private royal viewing), Lviv (its official premiere in 1901), Prague, Cologne, Zurich, Warsaw, Philadelphia, Boston, Chicago, Pittsburgh and Baltimore, Moscow, and Kiev. In 1904, Paderewski, accompanied by his second wife, entourage, parrot, and Erard piano, gave concerts in Australia and New Zealand in collaboration with Polish-French composer, Henri Kowalski. Paderewski toured tirelessly around the world and was the first to give a solo performance at the new 3,000-seat Carnegie Hall. In 1909 came the premiere of his Symphony in B minor ""Polonia"", a massive work lasting 75 minutes. Paderewski's compositions were quite popular in his lifetime and, for a time, entered the orchestral repertoire, particularly his Fantaisie polonaise sur des thèmes originaux (Polish Fantasy on Original Themes) for piano and orchestra, Piano Concerto in A minor, and Polonia symphony. His piano miniatures became especially popular; the Minuet in G major, Op. 14 No. 1, written in the style of Mozart, became one of the most recognized piano tunes of all time. Despite his relentless touring schedule and his political and charitable engagements, Paderewski left a legacy of over 70 orchestral, instrumental, and vocal works.
",5,"After three years of diligent study and a teaching appointment in Strasbourg which Leschetizky arranged, Paderewski made Paderewski's concert debut in Vienna in 1887. Paderewski soon gained great popularity and had popular successes in Paris in 1889 and in London in 1890. Audiences responded to Paderewski's brilliant playing with almost extravagant displays of admiration, and Paderewski also gained access to the halls of power. In 1891, Paderewski repeated Paderewski's triumphs on an American tour; Paderewski would tour the country more than 30 times for the next five decades, and the country would become Paderewski's second home. Paderewski's stage presence, striking looks, and immense charisma contributed to Paderewski's stage success, which later proved important in Paderewski's political and charitable activities. Paderewski's name became synonymous with the highest level of piano virtuosity. Not everyone was equally impressed, however. After hearing Paderewski for the first time, Moriz Rosenthal quipped, ""Yes, Paderewski plays well, Moriz Rosenthal suppose, but Paderewski's no Paderewski. ""Paderewski kept up a furious pace of touring and composition, including many of Paderewski's own piano compositions in Paderewski's concerts. Paderewski also wrote an opera, Manru, which is still the only opera by a Polish composer that was ever performed in the Metropolitan Opera's's 135-year history. A ""lyric drama,"" an opera, Manru, which is still the only opera by a Polish composer that was ever performed in the Metropolitan Opera's 135-year history is an ambitious work that was formally inspired by Wagner's's music dramas. an opera, Manru, which is still the only opera by a Polish composer that was ever performed in the Metropolitan Opera's 135-year history lacks an overture and closed-form arias but uses Wagner's's device of leitmotifs to represent characters and ideas. The story centres on a doomed love triangle, social inequality, and racial prejudice (an opera, Manru, which is still the only opera by a Polish composer that was ever performed in the Metropolitan Opera's 135-year history is a Gypsy), and an opera, Manru, which is still the only opera by a Polish composer that was ever performed in the Metropolitan Opera's 135-year history is set in the Tatra Mountains. In addition to the Metropolitan Opera's, an opera, Manru, which is still the only opera by a Polish composer that was ever performed in the Metropolitan Opera's 135-year history was staged in Dresden (a private royal viewing), Lviv (an opera, Manru, which is still the only opera by a Polish composer that was ever performed in the Metropolitan Opera's 135-year history's official premiere in 1901), Prague, Cologne, Zurich, Warsaw, Philadelphia, Boston, Chicago, Pittsburgh and Baltimore, Moscow, and Kiev. In 1904, Paderewski, accompanied by Paderewski's second wife, entourage, parrot, and Erard piano, gave concerts in Australia and New Zealand in collaboration with Polish-French composer, Henri Kowalski. Paderewski toured tirelessly around the world and was the first to give a solo performance at the new 3,000-seat Carnegie Hall. In 1909 came the premiere of Paderewski's Symphony in B minor ""Polonia"", a massive work lasting 75 minutes. Paderewski's compositions were quite popular in Paderewski's lifetime and, for a time, entered the orchestral repertoire, particularly Paderewski's Fantaisie polonaise sur des thèmes originaux (Polish Fantasy on Original Themes) for piano and orchestra, Piano Concerto in A minor, and Polonia symphony. Paderewski's piano miniatures became especially popular; the Minuet in G major, Op. 14 No. 1, written in the style of Mozart, became one of the most recognized piano tunes of all time. Despite Paderewski's relentless touring schedule and Paderewski's political and charitable engagements, Paderewski left a legacy of over 70 orchestral, instrumental, and vocal works. "
"In 1896, Paderewski donated US$10,000 to establish a trust fund to encourage American-born composers. The fund underwrote a triennial competition that began in 1901, the Paderewski Prize. Paderewski also launched a similar contest in Leipzig in 1898. He was so popular internationally that the music hall duo ""The Two Bobs"" had a hit song in 1916 in music halls across Britain with the song ""When Paderewski Plays"". He was a favorite of concert audiences around the globe; women especially admired his performances. By the turn of the century, the artist was an extremely wealthy man generously donating to numerous causes and charities and sponsoring monuments, among them the Washington Arch, in New York, in 1892. Paderewski shared his fortune generously with fellow countrymen, as well as with citizens and foundations from around the world. He established a foundation for young American musicians and the students of Stanford University (1896), another at the Parisian Conservatory (1909), yet another scholarship fund at the Ecole Normale (1924), funded students of the Moscow Conservatory and the Petersburg Conservatory (1899) as well as spas in the Alps (1928), for the British Legion. In the Great Depression, Paderewski supported unemployed musicians in the United States (1932) and the unemployed in Switzerland in 1937. Paderewski also publicly supported an insurance fund for musicians in London (1933) and aided Jewish intellectuals in Paris (1933). He also supported orphanages and the Maternity Centre in New York. Only a few of the Paderewski-sponsored concert halls and monuments included Debussy (1931) and Édouard Colonne (1923) monuments in Paris, Liszt Monument in Weimar, Beethoven Monument in Bonn, Chopin Monument in Żelazowa Wola (the composer's birthplace), Kosciuszko Monument in Chicago, and Washington Arch in New York.
",7,"In 1896, Paderewski donated US$10,000 to establish a trust fund to encourage American-born composers. a trust fund to encourage American-born composers underwrote a triennial competition that began in 1901, the Paderewski Prize. Paderewski also launched a similar contest in Leipzig in 1898. Paderewski was so popular internationally that the music hall duo ""The Two Bobs"" had a hit song in 1916 in music halls across Britain with the song ""When Paderewski Plays"". Paderewski was a favorite of concert audiences around the globe; women especially admired Paderewski's performances. By the turn of the century, Paderewski was an extremely wealthy man generously donating to numerous causes and charities and sponsoring monuments, among them the Washington Arch, in New York, in 1892. Paderewski shared Paderewski's fortune generously with fellow countrymen, as well as with citizens and foundations from around the globe. Paderewski established a foundation for young American musicians and the students of Stanford University (1896), another at the Parisian Conservatory (1909), yet another scholarship fund at the Ecole Normale (1924), funded students of the Moscow Conservatory and the Petersburg Conservatory (1899) as well as spas in the Alps (1928), for the British Legion. In the Great Depression, Paderewski supported unemployed musicians in the United States (1932) and the unemployed in Switzerland in 1937. Paderewski also publicly supported an insurance fund for musicians in London (1933) and aided Jewish intellectuals in Paris (1933). Paderewski also supported orphanages and the Maternity Centre in New York. Only a few of the Paderewski-sponsored concert halls and monuments included Debussy (1931) and Édouard Colonne (1923) monuments in Paris, Liszt Monument in Weimar, Beethoven Monument in Bonn, Chopin Monument in Żelazowa Wola (Paderewski's birthplace), Kosciuszko Monument in Chicago, and Washington Arch in New York. "
"In 1913, Paderewski settled in the United States. On the eve of World War I and at the height of his fame, Paderewski bought a 2,000-acre (810-ha) property, Rancho San Ignacio, near Paso Robles, in San Luis Obispo County, in California's Central Coast region. A decade later, he planted Zinfandel vines on the Californian property. When the vines matured, the grapes were processed into wine at the nearby York Mountain Winery, which was, as it still is, one of the best-known wineries between Los Angeles and San Francisco.
",9,"In 1913, Paderewski settled in the United States. On the eve of World War I and at the height of Paderewski's fame, Paderewski bought a 2,000-acre (810-ha) property, Rancho San Ignacio, near Paso Robles, in San Luis Obispo County, in California's Central Coast region. A decade later, Paderewski planted Zinfandel vines on the Californian property. When Zinfandel vines matured, Zinfandel vines were processed into wine at the nearby York Mountain Winery, which was, as the nearby York Mountain Winery, which was, as it still is, one of the best-known wineries between Los Angeles and San Francisco still is, one of the best-known wineries between Los Angeles and San Francisco. "
"== Politician and diplomat ==
",10,== Politician and diplomat == 
"In 1910, Paderewski funded the Battle of Grunwald Monument in Kraków to commemorate the battle's 500th anniversary. The monument's unveiling led to great patriotic demonstrations. In speaking to the gathered throng, Paderewski proved as adept at capturing their hearts and minds for the political cause as he was with his music. His passionate delivery needed no recourse to notes. Paderewski's status as an artist and philanthropist and not as a member of any of the many Polish political factions became one of his greatest assets and so he rose above the quarrels, and he could legitimately appeal to higher ideals of unity, sacrifice, charity, and work for common goals. In World War I, Paderewski became an active member of the Polish National Committee in Paris, which was soon accepted by the Triple Entente as the representative of the forces trying to create the state of Poland. Paderewski became the committee's spokesman, and soon, he and his wife also formed others, including the Polish Relief Fund, in London, and the White Cross Society, in the United States. Paderewski met the English composer Edward Elgar, who used a theme from Paderewski's Fantasie Polonaise in his work Polonia written for the Polish Relief Fund concert in London on 6 July 1916 (the title certainly recognises Paderewski's Symphony in B minor).
",11,"In 1910, Paderewski funded the Battle of Grunwald Monument in Kraków to commemorate the Battle of Grunwald Monument in Kraków's 500th anniversary. the Battle of Grunwald Monument in Kraków's unveiling led to great patriotic demonstrations. In speaking to the gathered throng, Paderewski proved as adept at capturing the gathered throng's hearts and minds for the political cause as Paderewski was with Paderewski's music. Paderewski's passionate delivery needed no recourse to notes. Paderewski's status as an artist and philanthropist and not as a member of any of the many Polish political factions became one of Paderewski's greatest assets and so Paderewski rose above the quarrels, and Paderewski could legitimately appeal to higher ideals of unity, sacrifice, charity, and work for common goals. In World War I, Paderewski became an active member of the Polish National Committee in Paris, which was soon accepted by the Triple Entente as the representative of the forces trying to create the state of Poland. Paderewski became the Polish National Committee in Paris, which was soon accepted by the Triple Entente as the representative of the forces trying to create the state of Poland's spokesman, and soon, Paderewski and Paderewski's wife also formed others, including the Polish Relief Fund, in London, and the White Cross Society, in the United States. Paderewski met the English composer Edward Elgar, who used a theme from Paderewski's Fantasie Polonaise in his work Polonia written for the the Polish Relief Fund concert in London on 6 July 1916 (the title certainly recognises Paderewski's Symphony in B minor). "
