ori_text,paragraphIndex,coref_text
"Sir George Alexander Macfarren (2 March 1813 – 31 October 1887) was an English composer and musicologist.
",0,Sir George Alexander Macfarren (2 March 1813 – 31 October 1887) was an English composer and musicologist. 
"George Alexander Macfarren was born in London on 2 March 1813 to George Macfarren, a dancing-master, dramatic author and journalist, who later became the editor of the Musical World, and Elizabeth Macfarren, née Jackson. At the age of seven, Macfarren was sent to Dr. Nicholas's school in Ealing, where his father was dancing-master; the school numbered among its alumni John Henry, Cardinal Newman and Thomas Henry Huxley. His health was poor, however, and his eyesight weak, so much so that he was given a large-type edition of the Bible and had to use a powerful magnifying-glass for all other reading. He was withdrawn from the school in 1823 to undergo a course of eye treatment. The treatment was unsuccessful, and his eyesight progressively worsened until he became totally blind in 1860. However, his blindness had little effect on his productivity. He overcame the difficulties posed by his lack of sight by employing an amanuensis in composition. One amanuensis was composer Oliveria Prescott. On 27 September 1844, Macfarren married Clarina Thalia Andrae, subsequently known as Natalia Macfarren (1827–1916), an operatic contralto and pianist who was born in Lübeck. Trained at the Royal Academy of Music, she was successively a concert singer and singing teacher, as well as being a writer and a prolific translator of German poetry, songs (lieder) and operatic libretti into English. Her singing translation for the finale text of Beethoven's Symphony No. 9, the ""Ode to Joy"", became its most popular translation in England. She also composed for piano. Their daughter Clarina Thalia Macfarren (23 Mar 1848-10 Jul 1934) married Francis William Davenport, one of George Macfarren's students.
",2,"George Alexander Macfarren was born in London on 2 March 1813 to George Macfarren, a dancing-master, dramatic author and journalist, who later became the editor of the Musical World, and Elizabeth Macfarren, née Jackson. At the age of seven, George Alexander Macfarren was sent to Dr. Nicholas's school in Ealing, where George Alexander Macfarren's father was dancing-master; Dr. Nicholas's school in Ealing, where his father was dancing-master numbered among Dr. Nicholas's school in Ealing, where his father was dancing-master's alumni John Henry, Cardinal Newman and Thomas Henry Huxley. George Alexander Macfarren's health was poor, however, and George Alexander Macfarren's eyesight weak, so much so that George Alexander Macfarren was given a large-type edition of the Bible and had to use a powerful magnifying-glass for all other reading. George Alexander Macfarren was withdrawn from Dr. Nicholas's school in Ealing, where his father was dancing-master in 1823 to undergo a course of eye treatment. a course of eye treatment was unsuccessful, and George Alexander Macfarren's eyesight progressively worsened until George Alexander Macfarren became totally blind in 1860. However, George Alexander Macfarren's blindness had little effect on George Alexander Macfarren's productivity. George Alexander Macfarren overcame the difficulties posed by George Alexander Macfarren's lack of sight by employing an amanuensis in composition. One amanuensis was composer Oliveria Prescott. On 27 September 1844, George Alexander Macfarren married Clarina Thalia Andrae, subsequently known as Natalia Macfarren (1827–1916), an operatic contralto and pianist who was born in Lübeck. Trained at the Royal Academy of Music, she was successively a concert singer and singing teacher, as well as being a writer and a prolific translator of German poetry, songs (lieder) and operatic libretti into English. Her singing translation for the finale text of Beethoven's Symphony No. 9, the ""Ode to Joy"", became Beethoven's Symphony No. 9's most popular translation in English. She also composed for piano. Their daughter Clarina Thalia Macfarren (23 Mar 1848-10 Jul 1934) married Francis William Davenport, one of George Alexander Macfarren's students. "
"His brother Walter Macfarren (28 Aug 1826–1905) was a pianist, composer and professor of the Royal Academy. Emma Maria Macfarren, the wife of another brother, John, was also a pianist and composer.
",3,"His brother Walter Macfarren (28 Aug 1826–1905) was a pianist, composer and professor of the Royal Academy. Emma Maria Macfarren, the wife of another brother, John, was also a pianist and composer. "
"Macfarren was knighted in 1883. He ""suffered from chronic bronchitis and a weak heart"" but refused to abate his working schedule, and died on 31 October 1887, at his house in Hamilton Terrace, St John's Wood. He is buried in Hampstead Cemetery.
",4,"Macfarren was knighted in 1883. Macfarren ""suffered from chronic bronchitis and a weak heart"" but refused to abate Macfarren's working schedule, and died on 31 October 1887, at Macfarren's house in Hamilton Terrace, St John's Wood. Macfarren is buried in Hampstead Cemetery. "
"Macfarren began to study music when he was fourteen, under Charles Lucas. In 1829, at the age of sixteen, he entered the Royal Academy of Music, where he studied composition under Cipriani Potter as well as piano under William Henry Holmes and trombone with John Smithies. His ability to perform, however, was hindered by his poor eyesight and he soon concentrated upon composing only. In his first year at the Academy, Macfarren composed his first work, the Symphony in F minor. From 1834 to 1836 Macfarren taught at the Academy without a professorship; he was appointed a professor in 1837. He resigned in 1847 when his espousal of Alfred Day's new theory of harmony became a source of dispute between him and the rest of the Academy's faculty. In 1845 he became conductor at Covent Garden, producing the Antigone with Mendelssohn's music; his opera on Don Quixote was produced under Bunn at Drury Lane in 1846. Macfarren's eyesight had at that point deteriorated so significantly that he spent the next 18 months in New York to receive treatment from a leading oculist, but to no effect. He was re-appointed a professor at the Academy in 1851, not because the faculty had any greater love for Day's theories, but because they decided that free thought should be encouraged. He succeeded Sir William Sterndale Bennett as principal of the Academy in 1876. He was also appointed professor of music at Cambridge University in 1875, again succeeding Bennett. Macfarren founded the Handel Society which attempted to produce a collected edition of the works of George Frideric Handel (between 1843 and 1858).
",6,"Macfarren began to study music when Macfarren was fourteen, under Charles Lucas. In 1829, at the age of sixteen, Macfarren entered the Royal Academy of Music, where Macfarren studied composition under Cipriani Potter as well as piano under William Henry Holmes and trombone with John Smithies. Macfarren's ability to perform, however, was hindered by Macfarren's poor eyesight and Macfarren soon concentrated upon composing only. In Macfarren's first year at the Academy, Macfarren composed Macfarren's first work, the Symphony in F minor. From 1834 to 1836 Macfarren taught at the Academy without a professorship; Macfarren was appointed a professor in 1837. Macfarren resigned in 1847 when Macfarren's espousal of Alfred Day's's new theory of harmony became a source of dispute between Macfarren and the rest of the Academy's faculty. In 1845 Macfarren became conductor at Covent Garden, producing the Antigone with Mendelssohn's music; Macfarren's opera on Don Quixote was produced under Bunn at Drury Lane in 1846. Macfarren's eyesight had at that point deteriorated so significantly that Macfarren spent the next 18 months in New York to receive treatment from a leading oculist, but to no effect. Macfarren was re-appointed a professor at the Academy in 1851, not because the Academy's faculty had any greater love for Alfred Day's's theories, but because the Academy's faculty decided that free thought should be encouraged. Macfarren succeeded Sir William Sterndale Bennett as principal of the Academy in 1876. Macfarren was also appointed professor of music at Cambridge University in 1875, again succeeding Sir William Sterndale Bennett. Macfarren founded the Handel Society which attempted to produce a collected edition of the works of George Frideric Handel (between 1843 and 1858). "
"Among his theoretical works was an analysis of Beethoven's Missa solemnis (described as Beethoven's ""Grand Service in D"", and published in 1854); and a textbook on counterpoint (1881).
",7,"Among his theoretical works was an analysis of Beethoven's's Missa solemnis (described as Beethoven's's ""Grand Service in D"", and published in 1854); and a textbook on counterpoint (1881). "
"His overture ""Chevy Chace"" was performed on 26 October 1843 by the Leipzig Gewandhaus Orchestra conducted by Felix Mendelssohn. Mendelssohn had heard it performed in London and wrote to the composer that he ""liked it very much"".  After the Leipzig concert Mendelssohn wrote again to say ""Your overture went very well, and was most cordially and unanimously received by the public, the orchestra playing it with true delight and enthusiasm"".  Richard Wagner also admired the peculiar and wildly passionate character of the piece (which he described as the ""Steeple Chase by MacFarrinc"" in his diary).  Wagner also described the overture's composer as ""a pompous, melancholy Scotsman"". The ""Chevy Chace"" overture and two of his symphonies have been recorded. Among Macfarren's operas were King Charles II, produced at the Princess's Theatre in 1849 (Natalia Macfarren made her operatic debut in this production), and an adaptation of Robin Hood produced in 1860. His oratorios brought him some popular and critical success. The most enduringly successful of these, St John the Baptist, was first performed in 1873 at the Bristol Festival. The Resurrection premiered in 1876, Joseph in 1877 and King David in 1883. Macfarren also wrote chamber music, most notably the six string quartets that span over 40 years from 1834. Other chamber works include a piano trio in E minor, a piano quintet in G minor, sonatas for flute and violin, and three piano sonatas. Among his compositions of light music is a Romance and Barcarole for Concertina and Fortepiano written in 1856.
",8,"the composer's overture ""Chevy Chace"" was the Leipzig concert on 26 October 1843 by the Leipzig Gewandhaus Orchestra conducted by Felix Mendelssohn. Felix Mendelssohn had heard His overture ""Chevy Chace"" performed in London and wrote to the composer that Felix Mendelssohn ""liked His overture ""Chevy Chace"" very much"". After the the Leipzig Gewandhaus Orchestra conducted by Felix Mendelssohn concert Felix Mendelssohn wrote again to say ""the composer's overture went very well, and was most cordially and unanimously received by the public, the Leipzig Gewandhaus Orchestra conducted by Felix Mendelssohn playing His overture ""Chevy Chace"" with true delight and enthusiasm"". Richard Wagner also admired the peculiar and wildly passionate character of the piece (which Richard Wagner described as the ""Steeple Chase by MacFarrinc"" in Richard Wagner's diary). Richard Wagner also described His overture ""Chevy Chace""'s composer as ""a pompous, melancholy Scotsman"". His overture ""Chevy Chace"" and two of the composer's symphonies have been recorded. Among Macfarren's's operas were King Charles II, produced at the Princess's Theatre in 1849 (Natalia Macfarren made Natalia Macfarren's operatic debut in this production), and an adaptation of Robin Hood produced in 1860. Macfarren's's oratorios brought Macfarren's some popular and critical success. The most enduringly successful of His oratorios, St John the Baptist, was first performed in 1873 at the Bristol Festival. The Resurrection premiered in 1876, Joseph in 1877 and King David in 1883. Macfarren's also wrote chamber music, most notably the six string quartets that span over 40 years from 1834. Other chamber works include a piano trio in E minor, a piano quintet in G minor, sonatas for flute and violin, and three piano sonatas. Among Macfarren's's compositions of light music is a Romance and Barcarole for Concertina and Fortepiano written in 1856. "
"== Compositions (selective list) ==
",9,== Compositions (selective list) == 
"1828 – Symphony No. 1 in C (fp. Royal Academy of Music, London, September 1830)
",11,"1828 – Symphony No. 1 in C (fp. Royal Academy of Music, London, September 1830) "
"1831 – Symphony No. 2 in D minor (fp. Royal Academy of Music, London, December 1831)
",12,"1831 – Symphony No. 2 in D minor (fp. Royal Academy of Music, London, December 1831) "
