ori_text,paragraphIndex,coref_text
"Louis Joseph Ferdinand Herold (28 January 1791 – 19 January 1833), better known as Ferdinand Hérold (pronounced [fɛʁdinɑ̃ eʁɔld]), was a French composer. He was celebrated in his lifetime for his operas, of which he composed more than twenty, but he also wrote ballet music, works for piano and choral pieces. He is best known today for the ballet La Fille mal gardée and the overture to the opera Zampa.
",0,"Louis Joseph Ferdinand Herold (28 January 1791 – 19 January 1833), better known as Ferdinand Hérold (pronounced [fɛʁdinɑ̃ eʁɔld]), was a French composer. He was celebrated in his lifetime for his operas, of which he composed more than twenty, but he also wrote ballet music, works for piano and choral pieces. He is best known today for the ballet La Fille mal gardée and the overture to the opera Zampa. "
"Born in Paris to a musical family, Hérold trained at the Paris Conservatoire and won France's premier musical prize, the Prix de Rome in 1812. After a time in Italy he returned to Paris and worked first at the Théâtre Italien and then at the Opéra. He wrote several ballets for the latter, but was best known as a composer of opéra comique. Some of them particularly in his early days, were hampered by poor librettos, but later he had more successes than failures, and his last two operas, Zampa (1831) and Le Pré aux clercs (The Clerk's Meadow, 1832) were immensely popular, and remained in the repertory in France and elsewhere for decades after his early death from tuberculosis in 1833.
",1,"Born in Paris to a musical family, Hérold trained at the Paris Conservatoire and won France's's premier musical prize, the Prix de Rome in 1812. After a time in Italy Hérold returned to Paris and worked first at the Théâtre Italien and then at the Opéra. Hérold wrote several ballets for the Opéra, but was best known as a composer of opéra comique. Some of several ballets particularly in Hérold's early days, were hampered by poor librettos, but later Hérold had more successes than failures, and Hérold's last two operas, Zampa (1831) and Le Pré aux clercs (The Clerk's Meadow, 1832) were immensely popular, and remained in the repertory in France's and elsewhere for decades after Hérold's early death from tuberculosis in 1833. "
"As a ballet composer Hérold was a pioneer, raising the standard of ballet scores from being simple arrangements of popular tunes to well-orchestrated music illustrating the action of the ballets. His operas influenced later composers from Bizet and Offenbach to Wagner and Smetana
",2,"As a ballet composer Hérold was a pioneer, raising the standard of ballet scores from being simple arrangements of popular tunes to well-orchestrated music illustrating the action of the ballets. Hérold's operas influenced later composers from Bizet and Offenbach to Wagner and Smetana "
"=== Background and early years ===
",4,=== Background and early years = == 
"The Herold family was of Alsatian origin (the surname was written without an acute accent). The composer's father, François-Joseph Herold (1755–1802) was the son of an organist in Seltz. François-Joseph studied music with C. P. E. Bach in Hamburg and moved to Paris in about 1780, where he worked as a composer, pianist and teacher. In 1790 he married Jeanne-Gabrielle Pascal. Their only child, Louis Joseph Ferdinand Herold, later widely known as Ferdinand Hérold, was born in what is now the rue Herold in the 1st arrondissement on 28 January 1791. Wanting the boy to have an all-round education, François-Joseph sent him, aged eleven, to one of the best boarding schools in Paris, the Hix institute in the Champs-Élysées. The school included music in the curriculum, and Hérold studied solfège with François-Joseph Fétis. At the same time he continued his piano studies with his godfather, Louis Adam. François-Joseph did not intend his son to follow him into the musical profession, but his death, from tuberculosis, in 1802 left Hérold free to do so. In 1806, when he was nearly 16, he entered the Paris Conservatoire, where he studied piano with Adam, harmony with Charles-Simon Catel and violin with Rodolphe Kreutzer. In 1810 he won the conservatoire's first prize for piano, playing one of his own compositions.  In 1811 he was admitted to the composition class of Étienne Méhul, who esteemed his talents greatly, saw him as his successor, and became a much-loved father-figure to him. During 1812 works by Hérold were performed publicly for the first time. They included a piano concerto given on 6 April at the Théâtre Italien with the composer as soloist.
",5,"The Herold family was of Alsatian origin (the surname was written without an acute accent). The composer's father, François-Joseph Herold (1755–1802) was the son of an organist in Seltz. The composer's father, François-Joseph Herold (1755–1802) studied music with C. P. E. Bach in Hamburg and moved to Paris in about 1780, where The composer's father, François-Joseph Herold (1755–1802) worked as a composer, pianist and teacher. In 1790 The composer's father, François-Joseph Herold (1755–1802) married Jeanne-Gabrielle Pascal. Their only child, Louis Joseph Ferdinand Herold, later widely known as Ferdinand Hérold, was born in what is now the rue Herold in the 1st arrondissement on 28 January 1791. Wanting Their only child, Louis Joseph Ferdinand Herold, later widely known as Ferdinand Hérold to have an all-round education, The composer's father, François-Joseph Herold (1755–1802) sent Their only child, Louis Joseph Ferdinand Herold, later widely known as Ferdinand Hérold, aged eleven, to one of the best boarding schools in Paris, the Hix institute in the Champs-Élysées. one of the best boarding schools in Paris, the Hix institute in the Champs-Élysées included music in the curriculum, and Their only child, Louis Joseph Ferdinand Herold, later widely known as Ferdinand Hérold studied solfège with François-Joseph Fétis. At the same time Their only child, Louis Joseph Ferdinand Herold, later widely known as Ferdinand Hérold continued Their only child, Louis Joseph Ferdinand Herold, later widely known as Ferdinand Hérold's piano studies with Their only child, Louis Joseph Ferdinand Herold, later widely known as Ferdinand Hérold's godfather, Louis Adam. The composer's father, François-Joseph Herold (1755–1802) did not intend The composer's father, François-Joseph Herold (1755–1802)'s son to follow The composer's father, François-Joseph Herold (1755–1802) into the musical profession, but Their only child, Louis Joseph Ferdinand Herold, later widely known as Ferdinand Hérold's death, from tuberculosis, in 1802 left Their only child, Louis Joseph Ferdinand Herold, later widely known as Ferdinand Hérold free to do so. In 1806, when Their only child, Louis Joseph Ferdinand Herold, later widely known as Ferdinand Hérold was nearly 16, Their only child, Louis Joseph Ferdinand Herold, later widely known as Ferdinand Hérold entered the Paris Conservatoire, where Their only child, Louis Joseph Ferdinand Herold, later widely known as Ferdinand Hérold studied piano with his godfather, Louis Adam, harmony with Charles-Simon Catel and violin with Rodolphe Kreutzer. In 1810 Their only child, Louis Joseph Ferdinand Herold, later widely known as Ferdinand Hérold won the Paris Conservatoire, where he studied piano with Adam, harmony with Charles-Simon Catel and violin with Rodolphe Kreutzer's first prize for piano, playing one of Their only child, Louis Joseph Ferdinand Herold, later widely known as Ferdinand Hérold's own compositions. In 1811 Their only child, Louis Joseph Ferdinand Herold, later widely known as Ferdinand Hérold was admitted to the composition class of Étienne Méhul, who esteemed Their only child, Louis Joseph Ferdinand Herold, later widely known as Ferdinand Hérold's talents greatly, saw Their only child, Louis Joseph Ferdinand Herold, later widely known as Ferdinand Hérold as Étienne Méhul, who esteemed his talents greatly, saw him as his successor, and became a much-loved father-figure to him's successor, and became a much-loved father-figure to Étienne Méhul, who esteemed his talents greatly, saw him as his successor, and became a much-loved father-figure to him. During 1812 works by Their only child, Louis Joseph Ferdinand Herold, later widely known as Ferdinand Hérold were performed publicly for the first time. works by Hérold included a piano concerto given on 6 April at the Théâtre Italien with Their only child, Louis Joseph Ferdinand Herold, later widely known as Ferdinand Hérold as soloist. "
"In October 1812 Hérold was awarded France's premier musical prize, the Prix de Rome, which he won with a cantata, La Duchesse de la Vallière. The prize carried with it liberally subsidised residence and tuition at the Villa Medici, the French Academy in Rome, where Hérold went in 1813. There, he composed his first symphony and an anthem. Like his father, Hérold suffered from tuberculosis, and the climate of Rome did not suit him; he moved south to Naples in 1815. In Naples, Hérold won the approval of Joachim Murat, whom Napoleon had installed as King of Naples. Hérold was engaged as court pianist to Murat's wife, Queen Caroline, and music teacher to their daughters. While in Naples, Hérold was commissioned in 1814 to write his first opera, La gioventù di Enrico quinto (The Boyhood of Henry V), to a libretto from Alexandre Pineux-Duval's play La jeunesse de Henry V about Prince Hal of England. It was premiered in January 1815 at the Teatro del Fondo before Murat's court, with Manuel García in the title role. Shortly after this, the Napoleonic empire began to disintegrate, and Hérold left Naples, making a circuitous journey back to Paris. He went via Rome and Venice to Vienna,  where he met Antonio Salieri, whom he admired, and heard operas by Mozart.
",6,"In October 1812 Hérold was awarded France's premier musical prize, the Prix de Rome, which Hérold won with a cantata, La Duchesse de la Vallière. France's premier musical prize, the Prix de Rome, which he won with a cantata, La Duchesse de la Vallière carried with France's premier musical prize, the Prix de Rome, which he won with a cantata, La Duchesse de la Vallière liberally subsidised residence and tuition at the Villa Medici, the French Academy in Rome, where Hérold went in 1813. There, Hérold composed Hérold's first symphony and an anthem. Like Hérold's father, Hérold suffered from tuberculosis, and the climate of Rome did not suit Hérold; Hérold moved south to Naples in 1815. In Naples, Hérold won the approval of Joachim Murat, whom Napoleon had installed as King of Naples. Hérold was engaged as court pianist to Joachim Murat, whom Napoleon had installed as King of Naples's wife, Queen Caroline, and music teacher to their daughters. While in Naples, Hérold was commissioned in 1814 to write Hérold's first opera, La gioventù di Enrico quinto (The Boyhood of Henry V), to a libretto from Alexandre Pineux-Duval's play La jeunesse de Henry V about Prince Hal of England. his first opera, La gioventù di Enrico quinto (The Boyhood of Henry V) was premiered in January 1815 at the Teatro del Fondo before Joachim Murat, whom Napoleon had installed as King of Naples's court, with Manuel García in the title role. Shortly after this, the Napoleonic empire began to disintegrate, and Hérold left Naples, making a circuitous journey back to Paris. Hérold went via Rome and Venice to Vienna,  where Hérold met Antonio Salieri, whom Hérold admired, and heard operas by Mozart. "
"Hérold arrived back in Paris in August 1815, where he took the post of maestro al cembalo (deputy conductor and répétiteur) at the Théâtre Italien. In 1816 the composer François-Adrien Boieldieu invited him to collaborate on a new opera Charles de France, to which Hérold contributed the second act. In the same year he composed the opera Les Rosières, dedicated to Méhul, produced successfully at the Opéra-Comique. He had another success with La Clochette (The Bell, 1817), based on the story of Aladdin and his lamp; it ran well in Paris and was seen in Vienna (with additional numbers by Franz Schubert) After these, he had difficulty finding adequate librettos, and suffered four failures in a row between 1818 and 1821, following which he gave up composing operas for more than two years. In 1821 the director of the Théâtre Italien asked Hérold to go to Italy to find new works and recruit new singers. Across a four-month trip he visited seven major Italian cities and attended performances of Rossini operas including La donna del lago, which made a strong impression on him, La gazza ladra and Ricciardo e Zoraide. He recruited singers including Giuditta Pasta, Filippo Galli for his Parisian employer. During 1823 Hérold had another opera produced, Le Muletier; despite an unimpressive libretto the music was well received. The biographer Thomas Betzwieser writes that in Le Muletier Hérold ""found his own language for the first time"" so that this work marks the emergence of his personal style.  A one-act piece for the Paris Opéra, L'Asthénie, had a moderate run but was not well reviewed, and it was not until 1826 that he had another success, with Marie at the Opéra-Comique. In November 1826 Hérold gave up his post at the Théâtre Italien and became premier chef de chant (senior voice coach) at the Opéra, working on major works in the grand opéra genre such as Le Siège de Corinthe, Guillaume Tell, and Robert le diable. His position as chef de chant meant that he was barred from having his own operas performed at the Opéra, and his principal commissions there over the next three years were for ballet music: Astolphe et Jaconde (1827), La Somnambule  (The Sleepwalker) (1827), La Fille mal gardée  (1828) Lydie (1828), La Belle au bois dormant (The Sleeping Beauty) (1829) and La Noce de village (Village Wedding) (1830). Hérold married Adèle Elise Rollet in 1827. They had three children: Ferdinand, who became a lawyer and subsequently a senator, Adèle, who married a member of the Paris Conseil municipal, and Eugénie, a gifted musician, who, like her father and grandfather was consumptive, and died aged 20.
",8,"Hérold arrived back in Paris in August 1815, where Hérold took the post of maestro al cembalo (deputy conductor and répétiteur) at the Théâtre Italien. In the same year the composer François-Adrien Boieldieu invited Hérold to collaborate on a new opera Charles de France, to which Hérold contributed the second act. In the same year Hérold composed the opera Les Rosières, dedicated to Méhul, produced successfully at the Opéra-Comique. Hérold had another success with La Clochette (The Bell, 1817), based on the story of Aladdin and Aladdin's lamp; La Clochette (The Bell, 1817), based on the story of Aladdin and his lamp ran well in Paris and was seen in Vienna (with additional numbers by Franz Schubert) After these, Hérold had difficulty finding adequate librettos, and suffered four failures in a row between 1818 and 1821, following which Hérold gave up composing operas for more than two years. In 1821 the director of the Théâtre Italien asked Hérold to go to Italy to find new works and recruit new singers. Across a four-month trip Hérold visited seven major Italian cities and attended performances of Rossini operas including La donna del lago, which made a strong impression on Hérold, La gazza ladra and Ricciardo e Zoraide. Hérold recruited singers including Giuditta Pasta, Filippo Galli for Hérold's Parisian employer. During 1823 Hérold had another opera produced, Le Muletier; despite an unimpressive libretto the music was well received. The biographer Thomas Betzwieser writes that in another opera produced, Le Muletier Hérold ""found Hérold's own language for the first time"" so that another opera produced, Le Muletier marks the emergence of Hérold's personal style. A one-act piece for the Opéra-Comique, L'Asthénie, had a moderate run but was not well reviewed, and it was not until 1826 that Hérold had another success, with Marie at the Opéra-Comique. In November 1826 Hérold gave up Hérold's post at the Théâtre Italien and became premier chef de chant (senior voice coach) at the Opéra-Comique, working on major works in the grand opéra genre such as Le Siège de Corinthe, Guillaume Tell, and Robert le diable. Hérold's position as chef de chant meant that Hérold was barred from having Hérold's own operas performed at the Opéra-Comique, and Hérold's principal commissions there over the next three years were for ballet music: Astolphe et Jaconde (1827), La Somnambule  (The Sleepwalker) (1827), La Fille mal gardée  (1828) Lydie (1828), La Belle au bois dormant (The Sleeping Beauty) (1829) and La Noce de village (Village Wedding) (1830). Hérold married Adèle Elise Rollet in 1827. They had three children: Ferdinand, who became a lawyer and subsequently a senator, Adèle, who married a member of the Paris Conseil municipal, and Eugénie, a gifted musician, who, like Eugénie, a gifted musician, who, like her father and grandfather was consumptive, and died aged 20's father and grandfather was consumptive, and died aged 20. "
"Betzwieser writes that the composer's last three years were dominated by the writing of ""his two masterpieces"": Zampa (1831) and Le Pré aux clercs (1832). The first had a romantic libretto by Mélesville that appealed to the public and brought out the best in Hérold. The work had a tentative start because of a financial crisis at Opéra-Comique and the defection of the company's leading tenor, but it quickly became one of the most popular opéras comiques of the 19th century, in France and elsewhere, being staged in the US and Britain in 1833. In mid-1832 the Opéra-Comique had to close because of a cholera outbreak and civil disorder. During this period Hérold finished Le Pré aux clercs, to a libretto by Eugène de Planard based on Prosper Mérimée's historical novel Les Chroniques du temps de Charles IX (1829). Betzwieser writes that it aroused wild enthusiasm at its premiere on 15 December 1832. By the time of the first performance of Le Pré aux clercs in December 1832 the composer's tubercular condition had grown worse. His strength was taxed by the need to rehearse a new leading lady at short notice when the soprano cast for the role withdrew after her demand for higher fees was refused. Five weeks after the premiere he died, at the age of 42, at his house in Paris, and was buried at Père Lachaise Cemetery. Hérold left an unfinished opera, Ludovic. His friend Fromental Halévy completed the score, and it was performed three months after Hérold's death. By the end of the 19th century Le Pré aux clercs had been performed more than 1,500 times in Paris.
",10,"Betzwieser writes that the composer's's last three years were dominated by the writing of ""the composer's's two masterpieces"": Zampa (1831) and Le Pré aux clercs (1832). The work had a romantic libretto by Mélesville that appealed to the public and brought out the best in the composer's. The work had a tentative start because of a financial crisis at Opéra-Comique and the defection of Opéra-Comique's leading tenor, but The work quickly became one of the most popular opéras comiques of the 19th century, in France and elsewhere, being staged in the US and Britain in 1833. In mid-1832 Opéra-Comique had to close because of a cholera outbreak and civil disorder. During this period the composer's finished Le Pré aux clercs, to a libretto by Eugène de Planard based on Prosper Mérimée's historical novel Les Chroniques du temps de Charles IX (1829). Betzwieser writes that The work aroused wild enthusiasm at The work's premiere on 15 December 1832. By the time of the first performance of Le Pré aux clercs (1832) in December 1832 the composer's's tubercular condition had grown worse. the composer's's strength was taxed by the need to rehearse a new leading lady at short notice when the soprano cast for a new leading lady withdrew after the soprano cast for the role's demand for higher fees was refused. Five weeks after the first performance of Le Pré aux clercs in December 1832 the composer's Hérold's death, at the age of 42, at the composer's's house in Paris, and was buried at Père Lachaise Cemetery. the composer's left an unfinished opera, Ludovic. the composer's's friend Fromental Halévy completed an unfinished opera, Ludovic, and an unfinished opera, Ludovic was performed three months after the composer's's death. By the end of the 19th century Le Pré aux clercs (1832) had been performed more than 1,500 times in Paris. "
"The musicologist Gustav Chouqet wrote in 1904 that Hérold's early symphonic, choral and chamber works show that the composer could have excelled in concert works had he continued in that type of composition, but the stage ""possesses an irresistible attraction for a man gifted with ardent imagination and capacity for expressing emotion"", leading Hérold to opera and the ballet.
",12,"The musicologist Gustav Chouqet wrote in 1904 that Hérold's's early symphonic, choral and chamber works show that Hérold's could have excelled in concert works had Hérold's continued in concert works, but the stage ""possesses an irresistible attraction for Hérold's"", leading Hérold's to opera and the ballet. "
"Until Hérold's day the role of the composer was not a prestigious one in the world of ballet. In The International Encyclopedia of Dance, Ole Nørlyng observes that ballet scores before then ""seldom rose above light arrangements of well-known melodies and dance tunes"". Hérold, and his friend Adolphe Adam (son of his godfather and piano teacher), made the first steps to elevating ballet scores to a higher musical level. Hérold continued the practice of using familiar operatic tunes (partly to aid audiences' comprehension of mime scenes), but he borrowed carefully and with discrimination. La Belle au bois dormant is an early example, using music from, inter alia,  Weber's  Der Freischütz and showing, (""if in a crude form"", in Nørlyng's phrase) the first steps towards more dramatically penetrating ballet music. Nørlyng adds that in addition, Hérold ""had a never-failing elegance of orchestration, a melodic richness, and the ability to create dramatic effects"". Nonetheless, Hérold did not treat the role of ballet composer with the attention he gave to his operas: he was known to compose his ballets at the dinner table while talking to friends. When they objected to his spending his talents on such trivial work he replied, ""Plus j'écris, plus les idées me viennent"" (""The more I write, the more ideas come to me""). Although Hérold's name is associated in the public mind with the music for La Fille mal gardée, the score he wrote for the Opéra in 1828 differs substantially from that played in modern productions of the ballet. His score is known to have incorporated some music from an earlier production of the ballet, as well as other contemporary sources, notably Rossini. Later productions have added music by Peter Ludwig Hertel, and the most famous number in the piece, the clog dance, is a modern invention, based on one of Hertel's tunes, by John Lanchbery, who revised the whole score in 1959 for Frederick Ashton's production. Lanchbery maintained that the orchestration of Hérold's score is inferior to that of his operas, probably because it was hurriedly composed. Eugène Scribe's libretto for La Somnambule (which inspired Bellini's opera La sonnambula) led Hérold to produce what Nørlyng describes as a graceful, pastoral score, in which, innovatively, Hérold sought to connect the music to the drama through the use of melodic motifs.
",14,"Until Hérold's's day the role of the composer was not a prestigious one in the world of ballet. In The International Encyclopedia of Dance, Ole Nørlyng observes that ballet scores before then ""seldom rose above light arrangements of well-known melodies and dance tunes"". Hérold's, and Hérold's's friend Adolphe Adam (son of Hérold's's godfather and piano teacher), made the first steps to elevating ballet scores to a higher musical level. Hérold's continued the practice of using familiar operatic tunes (partly to aid audiences' comprehension of mime scenes), but Hérold's borrowed carefully and with discrimination. La Belle au bois dormant is an early example, using music from, inter alia, Weber's  Der Freischütz and showing, (""if in a crude form"", in Ole Nørlyng's phrase) the first steps towards more dramatically penetrating ballet music. Ole Nørlyng adds that in addition, Hérold's ""had a never-failing elegance of orchestration, a melodic richness, and the ability to create dramatic effects"". Nonetheless, Hérold's did not treat the role of ballet composer with the attention Hérold's gave to Hérold's's operas: Hérold's was known to compose Hérold's's ballets at the dinner table while talking to friends. When friends objected to Hérold's's spending Hérold's's talents on such trivial work Hérold's replied, ""Plus j'écris, plus les idées Hérold's viennent"" (""The more Hérold's write, the more ideas come to Hérold's""). Although Hérold's's name is associated in the public mind with the music for La Fille mal gardée, the score Hérold's wrote for the Opéra in 1828 differs substantially from that played in modern productions of the ballet. Hérold's's score is known to have incorporated some music from an earlier production of the ballet, as well as other contemporary sources, notably Rossini. Later productions have added music by Peter Ludwig Hertel, and the most famous number in La Fille mal gardée, the clog dance, is a modern invention, based on one of Peter Ludwig Hertel's tunes, by John Lanchbery, who revised the whole score in 1959 for Frederick Ashton's production. John Lanchbery, who revised the whole score in 1959 for Frederick Ashton's production maintained that the orchestration of Hérold's's score is inferior to that of Hérold's's operas, probably because the orchestration of Hérold's score was hurriedly composed. Eugène Scribe's libretto for La Somnambule (which inspired Bellini's opera La sonnambula) led Hérold's to produce what Ole Nørlyng describes as a graceful, pastoral score, in which, innovatively, Hérold's sought to connect the music to the drama through the use of melodic motifs. "
