ori_text_x,paragraphIndex,ori_text_y,coref_text
"Clara Josephine Schumann ([ˈklaːʁa ˈʃuːman]; née Wieck; 13 September 1819 – 20 May 1896) was a German pianist, composer, and piano teacher. Regarded as one of the most distinguished pianists of the Romantic era, she exerted her influence over a 61-year concert career, changing the format and repertoire of the piano recital from displays of virtuosity to programs of serious works. She also composed solo piano pieces, a piano concerto (her Op. 7), chamber music, choral pieces, and songs.
",0,"Clara Josephine Schumann ([ˈklaːʁa ˈʃuːman]; née Wieck; 13 September 1819 – 20 May 1896) was a German pianist, composer, and piano teacher. Regarded as one of the most distinguished pianists of the Romantic era, she exerted her influence over a 61-year concert career, changing the format and repertoire of the piano recital from displays of virtuosity to programs of serious works. She also composed solo piano pieces, a piano concerto (her Op. 7), chamber music, choral pieces, and songs.
","Clara Josephine Schumann ([ˈklaːʁa ˈʃuːman]; née Wieck; 13 September 1819 – 20 May 1896) was a German pianist, composer, and piano teacher. Regarded as one of the most distinguished pianists of the Romantic era, she exerted her influence over a 61-year concert career, changing the format and repertoire of the piano recital from displays of virtuosity to programs of serious works. She also composed solo piano pieces, a piano concerto (her Op. 7), chamber music, choral pieces, and songs.
"
"She grew up in Leipzig, where her father, Friedrich Wieck, was a pianist and teacher, and her mother, Mariane, was a pianist, singer, and piano teacher. She was a child prodigy, trained by her father. She began touring at age eleven, and was successful in Paris and Vienna, among other cities. She married the composer Robert Schumann, and the couple had eight children. Together, they encouraged Johannes Brahms and maintained a close relationship with him. She premiered many works by her husband and by Brahms in public.
",1,"She grew up in Leipzig, where her father, Friedrich Wieck, was a pianist and teacher, and her mother, Mariane, was a pianist, singer, and piano teacher. She was a child prodigy, trained by her father. She began touring at age eleven, and was successful in Paris and Vienna, among other cities. She married the composer Robert Schumann, and the couple had eight children. Together, they encouraged Johannes Brahms and maintained a close relationship with him. She premiered many works by her husband and by Brahms in public.
","She grew up in Leipzig, where her father, Friedrich Wieck, was a pianist and teacher, and her mother, Mariane, was a pianist, singer, and piano teacher. She was a child prodigy, trained by her father. She began touring at age eleven, and was successful in Paris and Vienna, among other cities. She married the composer Robert Schumann, and the couple had eight children. Together, the couple encouraged Johannes Brahms and maintained a close relationship with Johannes Brahms. She premiered many works by her husband and by Johannes Brahms in public.
"
"After Robert Schumann's early death, she continued her concert tours in Europe for decades, frequently with the violinist Joseph Joachim and other chamber musicians. Beginning in 1878, she was an influential piano educator at Dr. Hoch's Konservatorium in Frankfurt, where she attracted international students. She edited the publication of her husband's work. Schumann died in Frankfurt, but was buried in Bonn beside her husband.
",2,"After Robert Schumann's early death, she continued her concert tours in Europe for decades, frequently with the violinist Joseph Joachim and other chamber musicians. Beginning in 1878, she was an influential piano educator at Dr. Hoch's Konservatorium in Frankfurt, where she attracted international students. She edited the publication of her husband's work. Schumann died in Frankfurt, but was buried in Bonn beside her husband.
","After Robert Schumann's's early death, Schumann continued Schumann's concert tours in Europe for decades, frequently with the violinist Joseph Joachim and other chamber musicians. Beginning in 1878, Schumann was an influential piano educator at Dr. Hoch's Konservatorium in Frankfurt, where Schumann attracted international students. Schumann edited the publication of Schumann's husband's work. Schumann died in Frankfurt, but was buried in Bonn beside Schumann's husband.
"
"Several films have focused on Schumann's life, the earliest being Träumerei (Dreaming) of 1944. A 2008 film, Geliebte Clara (Beloved Clara), was directed by Helma Sanders-Brahms. An image of Clara Schumann from an 1835 lithograph by Andreas Staub was featured on the 100 Deutsche Mark banknote from 1989 to 2002. Interest in her compositions began to revive in the late 20th century, and her 2019 bicentenary prompted new books and exhibitions.
",3,"Several films have focused on Schumann's life, the earliest being Träumerei (Dreaming) of 1944. A 2008 film, Geliebte Clara (Beloved Clara), was directed by Helma Sanders-Brahms. An image of Clara Schumann from an 1835 lithograph by Andreas Staub was featured on the 100 Deutsche Mark banknote from 1989 to 2002. Interest in her compositions began to revive in the late 20th century, and her 2019 bicentenary prompted new books and exhibitions.
","Several films have focused on Schumann's's life, the earliest being Träumerei (Dreaming) of 1944. A 2008 film, Geliebte Clara (Beloved Clara), was directed by Helma Sanders-Brahms. An image of Schumann's from an 1835 lithograph by Andreas Staub was featured on the 100 Deutsche Mark banknote from 1989 to 2002. Interest in Schumann's's compositions began to revive in the late 20th century, and Schumann's's 2019 bicentenary prompted new books and exhibitions.
"
"== Life ==
",4,"== Life ==
","== Life ==
"
"=== Early life ===
",5,"=== Early life ===
","=== Early life ===
"
"==== Family ====
",6,"==== Family ====
","==== Family ====
"
"Clara Josephine Wieck [ˈklaːʀa ˈjoːzɛfiːn ˈviːk] was born in Leipzig on 13 September 1819 to Friedrich Wieck and his wife Mariane (née Tromlitz). Her mother was a famous singer in Leipzig who performed weekly piano and soprano solos at the Gewandhaus. Clara's parents had irreconcilable differences, in part due to her father's unyielding nature. Prompted by an affair between her mother and Adolph Bargiel, her father's friend, the Wiecks were divorced in 1825, with Mariane later marrying Bargiel. Five-year-old Clara remained with her father while Mariane and Bargiel eventually moved to Berlin, limiting contact between Clara and her mother to written letters and occasional visits.
",7,"Clara Josephine Wieck [ˈklaːʀa ˈjoːzɛfiːn ˈviːk] was born in Leipzig on 13 September 1819 to Friedrich Wieck and his wife Mariane (née Tromlitz). Her mother was a famous singer in Leipzig who performed weekly piano and soprano solos at the Gewandhaus. Clara's parents had irreconcilable differences, in part due to her father's unyielding nature. Prompted by an affair between her mother and Adolph Bargiel, her father's friend, the Wiecks were divorced in 1825, with Mariane later marrying Bargiel. Five-year-old Clara remained with her father while Mariane and Bargiel eventually moved to Berlin, limiting contact between Clara and her mother to written letters and occasional visits.
","Clara Josephine Wieck [ˈklaːʀa ˈjoːzɛfiːn ˈviːk] was born in Leipzig on 13 September 1819 to Friedrich Wieck and Friedrich Wieck's wife Mariane (née Tromlitz). Clara Josephine Wieck's mother was a famous singer in Leipzig who performed weekly piano and soprano solos at the Gewandhaus. Clara Josephine Wieck's parents had irreconcilable differences, in part due to Clara Josephine Wieck's father's unyielding nature. Prompted by an affair between Clara Josephine Wieck's mother and Adolph Bargiel, Clara Josephine Wieck's father's friend, Friedrich Wieck and his wife Mariane (née Tromlitz) were divorced in 1825, with his wife Mariane (née Tromlitz) later marrying Adolph Bargiel, her father's friend. Five-year-old Clara remained with Five-year-old Clara's father while his wife Mariane (née Tromlitz) and Adolph Bargiel, her father's friend eventually moved to Berlin, limiting contact between Clara Josephine Wieck and Clara Josephine Wieck's mother to written letters and occasional visits.
"
"==== Child prodigy ====
",8,"==== Child prodigy ====
","==== Child prodigy ====
"
"From an early age, Clara's father planned her career and life down to the smallest detail. She started receiving basic piano instruction from her mother at the age of four. After her mother moved out, she began taking daily one-hour lessons from her father. They included subjects such as piano, violin, singing, theory, harmony, composition, and counterpoint. She then had to practice for two hours every day. Her father followed the methods in his own book, Wiecks pianistische Erziehung zum schönen Anschlag und zum singenden Ton (""Wieck's Piano Education for a Delicate Touch and a Singing Sound."") Her musical studies came largely at the expense of her broader general education, although she still studied religion and languages under her father's control of the family.
",9,"From an early age, Clara's father planned her career and life down to the smallest detail. She started receiving basic piano instruction from her mother at the age of four. After her mother moved out, she began taking daily one-hour lessons from her father. They included subjects such as piano, violin, singing, theory, harmony, composition, and counterpoint. She then had to practice for two hours every day. Her father followed the methods in his own book, Wiecks pianistische Erziehung zum schönen Anschlag und zum singenden Ton (""Wieck's Piano Education for a Delicate Touch and a Singing Sound."") Her musical studies came largely at the expense of her broader general education, although she still studied religion and languages under her father's control of the family.
","From an early age, Clara's's father planned Clara's's career and life down to the smallest detail. Clara's started receiving basic piano instruction from Clara's's mother at the age of four. After Clara's's mother moved out, Clara's began taking daily one-hour lessons from Clara's's father. daily one-hour lessons included subjects such as piano, violin, singing, theory, harmony, composition, and counterpoint. Clara's then had to practice for two hours every day. Clara's's father followed the methods in Clara's father's own book, Wiecks pianistische Erziehung zum schönen Anschlag und zum singenden Ton (""Wieck's Piano Education for a Delicate Touch and a Singing Sound."") Clara's's musical studies came largely at the expense of Clara's's broader general education, although Clara's still studied religion and languages under Clara's's father's control of the family.
"
