ori_text,paragraphIndex,coref_text
"Sir Henry Rowley Bishop (18 November 1787 – 30 April 1856) was an English composer. He is most famous for the songs ""Home! Sweet Home!"" and ""Lo! Here the Gentle Lark."" He was the composer or arranger of some 120 dramatic works, including 80 operas, light operas, cantatas, and ballets. Bishop was Knighted in 1842.  Bishop worked for all the major theatres of London in his era – including the Royal Opera House at Covent Garden, the Theatre Royal, Drury Lane, Vauxhall Gardens and the Haymarket Theatre, and was Professor of Music at the universities of Edinburgh and Oxford. His second wife was the noted soprano Anna Bishop, who scandalised British society by leaving him and conducting an open liaison with the harpist Nicolas-Charles Bochsa until the latter's death in Sydney.
",0,"Sir Henry Rowley Bishop (18 November 1787 – 30 April 1856) was an English composer. Sir Henry Rowley Bishop (18 November 1787 – 30 April 1856) is most famous for the songs ""Home! Sweet Home!"" and ""Lo! Here the Gentle Lark."" Sir Henry Rowley Bishop (18 November 1787 – 30 April 1856) was the composer or arranger of some 120 dramatic works, including 80 operas, light operas, cantatas, and ballets. Sir Henry Rowley Bishop (18 November 1787 – 30 April 1856) was Knighted in 1842. Sir Henry Rowley Bishop (18 November 1787 – 30 April 1856) worked for all the major theatres of London in Sir Henry Rowley Bishop (18 November 1787 – 30 April 1856)'s era – including the Royal Opera House at Covent Garden, the Theatre Royal, Drury Lane, Vauxhall Gardens and the Haymarket Theatre, and was Professor of Music at the universities of Edinburgh and Oxford. Sir Henry Rowley Bishop (18 November 1787 – 30 April 1856)'s second wife was the noted soprano Anna Bishop, who scandalised British society by leaving Sir Henry Rowley Bishop (18 November 1787 – 30 April 1856) and conducting an open liaison with the harpist Nicolas-Charles Bochsa until the harpist Nicolas-Charles Bochsa's death in Sydney. "
"Bishop was born in London, where his father was a watchmaker and haberdasher. At the age of 13, Bishop left full-time education and worked as a music-publisher with his cousin. After training as a jockey at Newmarket, he took some lessons in harmony from Francisco Bianchi in London. In 1804 he wrote the music to a piece called ""Angelina"", which was performed at Margate.
",2,"Bishop was born in London, where Bishop's father was a watchmaker and haberdasher. At the age of 13, Bishop left full-time education and worked as a music-publisher with Bishop's cousin. After training as a jockey at Newmarket, Bishop took some lessons in harmony from Francisco Bianchi in London, where his father was a watchmaker and haberdasher. In 1804 Bishop wrote the music to a piece called ""Angelina"", which was performed at Margate. "
"After his second success on the stage with The Maniac (1810), Bishop became music director of Covent Garden for the next 14 years. In 1813, he was a founding member of the Royal Philharmonic Society. In 1825 Bishop was induced by Robert Elliston to transfer his services from Covent Garden to the rival house in Drury Lane, for which he wrote, among others, the opera Aladdin, based on the story from 1001 Nights. It was intended to compete with Weber's Oberon, commissioned by the other house. Aladdin failed, and Bishop's career as an operatic composer came to an end. He did, however, rework operas by other composers. An 1827 Covent Garden playbill records a performance of the Marriage of Figaro with ""The Overture and Music selected chiefly from Mozart's operas – the new music by Mr Bishop"". It included an aria called Follow, follow o'er the mountain, sung by Miss Paton.
",3,"After Bishop's second success on the stage with The Maniac (1810), Bishop became music director of Covent Garden for the next 14 years. In 1813, Bishop was a founding member of the Royal Philharmonic Society. In 1825 Bishop was induced by Robert Elliston to transfer Bishop's services from Covent Garden to the rival house in Drury Lane, for which Bishop wrote, among others, the opera Aladdin, based on the story from 1001 Nights. the opera Aladdin, based on the story from 1001 Nights was intended to compete with Weber's Oberon, commissioned by the other house. the opera Aladdin, based on the story from 1001 Nights failed, and Bishop's career as an operatic composer came to an end. Bishop did, however, rework operas by other composers. An 1827 Covent Garden playbill records a performance of the Marriage of Figaro with ""The Overture and Music selected chiefly from Mozart's operas – the new music by Bishop"". ""The Overture and Music selected chiefly from Mozart's operas – the new music by Mr Bishop"" included an aria called Follow, follow o'er the mountain, sung by Miss Paton. "
"In 1841 he was appointed Reid Professor of Music in the University of Edinburgh, but resigned the office in 1843. In 1848 he became Heather Professor of Music at the University of Oxford, succeeding William Crotch, until 1853.
",4,"In 1841 he was appointed Reid Professor of Music in the University of Edinburgh, but resigned Reid Professor of Music in the University of Edinburgh in 1843. In 1848 he became Heather Professor of Music at the University of Oxford, succeeding William Crotch, until 1853. "
"According to William Denslow, Bishop was a freemason. Bishop was knighted in 1842.
",5,"According to William Denslow, Bishop was a freemason. Bishop was knighted in 1842. "
"Bishop's later years were clouded by scandal. He had married his second wife, the singer Ann Rivière, in 1831. She was twenty-three years younger than he, and they had three children. In 1839, Anna Bishop (as she was now known) abandoned her husband and three children to run off with her lover and accompanist, the harpist and composer Nicolas-Charles Bochsa. They left England to give concert tours abroad until Bochsa died in Sydney, Australia, in 1856. Anna Bishop sang on every continent and was the most widely travelled opera singer of the 19th century.
",6,"Bishop's later years were clouded by scandal. her husband had married her husband's second wife, the singer Ann Rivière, in 1831. his second wife, the singer Ann Rivière was twenty-three years younger than her husband, and they had three children. In 1839, Anna Bishop (as Anna Bishop (as she was now known) was now known) abandoned Anna Bishop (as she was now known) husband and three children to run off with Anna Bishop (as she was now known)'s lover and accompanist, the harpist and composer Nicolas-Charles Bochsa. They left England to give concert tours abroad until her lover and accompanist, the harpist and composer Nicolas-Charles Bochsa died in Sydney, Australia, in 1856. Anna Bishop (as she was now known) sang on every continent and was the most widely travelled opera singer of the 19th century. "
"Sir Henry Bishop died in poverty in London, although he had a substantial income during his lifetime. He is buried in East Finchley Cemetery in north London.
",7,"Sir Henry Bishop died in poverty in London, although Sir Henry Bishop had a substantial income during Sir Henry Bishop's lifetime. Sir Henry Bishop is buried in East Finchley Cemetery in north London. "
"Bishop's ""operas"" were written in a style and format that satisfied the audiences of his day. They have more in common with the earlier, native English ballad opera genre, or with modern musicals, than the classical opera of continental Europe with full recitatives. His first opera, The Circassian's Bride (1809), had one performance at Drury Lane before the theatre burned down and the score was lost. Bishop reconstructed it from memory. Between 1816 and 1828, Bishop composed the music for a series of Shakespearean operas staged by Frederic Reynolds. But these, and the numerous works, operas, burlettas, cantatas, incidental music etc. which he wrote are mostly forgotten. Even his limited partnering with various composers including Joseph Edwards Carpenter, Thomas Simpson Cooke and Stephen Glover are often overlooked. The year 1816 also saw the composition of a string quartet in C minor. His most successful operas were The Virgin of the Sun (1812), The Miller and his Men (1813), Guy Mannering (1816), and Clari, or the Maid of Milan (1823). Clari, with a libretto by the American John Howard Payne, included the song Home! Sweet Home!, which became enormously popular. In 1852 Bishop 'relaunched' the song as a parlour ballad. It was popular in the United States throughout the American Civil War and after.
",9,"Bishop's's ""operas"" were written in a style and format that satisfied the audiences of Bishop's's day. Bishop's ""operas"" have more in common with the earlier, native English ballad opera genre, or with modern musicals, than the classical opera of continental Europe with full recitatives. Bishop's's first opera, The Circassian's Bride (1809), had one performance at Drury Lane before Drury Lane burned down and the score was lost. Bishop's reconstructed His first opera, The Circassian's Bride (1809) from memory. Between The year 1816 and 1828, Bishop's composed the music for a series of Shakespearean operas staged by Frederic Reynolds. But a series of Shakespearean operas staged by Frederic Reynolds, and the numerous works, operas, burlettas, cantatas, incidental music etc. which Bishop's wrote are mostly forgotten. Even Bishop's's limited partnering with various composers including Joseph Edwards Carpenter, Thomas Simpson Cooke and Stephen Glover are often overlooked. The year 1816 also saw the composition of a string quartet in C minor. Bishop's's most successful operas were The Virgin of the Sun (1812), The Miller and his Men (1813), Guy Mannering (The year 1816), and Clari, or the Maid of Milan (1823). Clari, or the Maid of Milan (1823), with a libretto by the American John Howard Payne, included the song Home! Sweet Home!, which became enormously popular. In 1852 Bishop's 'relaunched' the song Home! Sweet Home!, which became enormously popular as a parlour ballad. the song Home! Sweet Home!, which became enormously popular was popular in the United States throughout the American Civil War and after. "
"According to music historian Anne Gilchrist:
",10,According to music historian Anne Gilchrist: 
"'If a postscript by another hand may follow Mr. Frank Kidson's* most illuminating true story of the origin of Home, Sweet Home,' in the November number of THE CHOIR, musical readers may perhaps be interested to learn that the melody was vastly improved by compression in Sir Henry Bishop's later edition of it (the one now familiar). The original so-called 'Sicilian Air,' which Bishop - as Mr. Kidson has told - confessed to having written himself for lack of the required specimen of Sicilian melody, is a tedious affair, with much repetition. The first two bars (now counted as four) of the melody are sung, with the variation of a single note, four times, and after two bars of something a little different, a fifth time. It is as if one sang the strain,
",11,"'If a postscript by another hand may follow Mr. Frank Kidson's's* most illuminating true story of the origin of Home, Sweet Home,' in the November number of THE CHOIR, musical readers may perhaps be interested to learn that the melody was vastly improved by compression in Sir Henry Bishop's's later edition of Home, Sweet Home (the one now familiar). The original so-called 'Sicilian Air,' which Sir Henry Bishop's - as Mr. Frank Kidson's has told - confessed to having written Sir Henry Bishop's for lack of the required specimen of Sicilian melody, is a tedious affair, with much repetition. The first two bars (now counted as four) of the melody are sung, with the variation of a single note, four times, and after two bars of something a little different, a fifth time. It is as if one sang the strain, "
"‘ 'Mid pleasures and palaces though we may roam, Be it never so humble, there's no place like home,’
",12,"‘ 'Mid pleasures and palaces though we may roam, Be it never so humble, there's no place like home,’ "
"twice over, then two bars of variation, then the music of the above two lines once more. There is as yet no refrain of 'Home, sweet home,' but instead, the strain belonging to 'There's no place like home, there's no place like home' is sung (except for one note) twice over, as a conclusion.
",13,"twice over, then two bars of variation, then the music of the above two lines once more. There is as yet no refrain of 'Home, sweet home,' but instead, the strain belonging to 'There's no place like home, there's no place like home' is sung (except for one note) twice over, as a conclusion. "
